Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Montgomery Area High School,MontgomeryAreaSchoolDistrict,Montgomery Area School District,It is the sole high school operated by the Montgomery Area School District,P5353,Forwards
1970 in sports,1971insports,1971,1967160196816019691601970160197116019721601973,P156,Forwards
Hussein Tawbe,2006FIBAWorldChampionship,2006 FIBA World Championship,Tawbe was a member of the Lebanon national basketball team with whom he competed with at the 2006 FIBA World Championship and FIBA Asia Championship 2007,P1344,Forwards
Almudena Vara,1992SummerOlympics,1992 Summer Olympics,She competed in the womens tournament at the 1992 Summer Olympics,P1344,Forwards
1967 in sports,1968insports,1968,1964160196516019661601967160196816019691601970,P156,Forwards
Theodoros Karras,Centerbasketball,center,At a height of 210 m 6 10mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 tall with a 230 m 7 6182602 wingspan he plays at the center position,P413,Forwards
Kilmore International School,VictoriaAustralia,Victoria,The Kilmore International School TKIS is in Kilmore Victoria Australia,P131,Forwards
Loyola High School Los Angeles,California,California,Loyola High School is a private Roman Catholic collegepreparatory high school for boys in Los Angeles California United States,P131,Forwards
Boston Garden,Massachusetts,Massachusetts,Boston Garden was an arena in Boston Massachusetts,P131,Forwards
ClintonMassie High School,UnitedStates,United States,ClintonMassie High School is a public high school near Clarksville Ohio in the United States the only high school in the ClintonMassie local school district,P17,Forwards
Chilean Olympic Committee,Chile,Chile,The Committee is the organization in charge of coordinating Olympic activities in Chile,P17,Forwards
1985 in sports,1986insports,1986,1982160198316019841601985160198616019871601988,P156,Forwards
Marcos Leite,Centerbasketball,center,At a height of 208 m 610 tall he played at the center position,P413,Forwards
Pleasant Valley Middle School,PleasantValleySchoolDistrictPennsylvania,Pleasant Valley School District,The school is the sole middle school operated by the Pleasant Valley School District,P5353,Forwards
Dinos Angelidis,Smallforward,small forward,He played as either small forward or power forward,P413,Forwards
Muggsy Bogues,Pointguard,point guard,The shortest player ever to play in the National Basketball Association NBA the 5160ft 3160in 160160m Bogues played point guard for four teams during his 14season career in the NBA,P413,Forwards
Georgios Kalaitzis,Pointguard,point guard,During his playing career at a height of 196 m 65 tall Kalaitzis played at the point guard shooting guard and small forward positions,P413,Forwards
Black Hills State Yellow Jackets,NCAADivisionII,NCAA Division II,They are currently a member of the NCAA Division II and participates in the Rocky Mountain Athletic Conference RMAC,P118,Forwards
DHanis Texas,UnitedStates,United States,DHanis dəˈhænɪs is a censusdesignated place in central Medina County Texas United States,P17,Forwards
Panagiotis Vasilopoulos,Smallforward,small forward,He plays at both the small forward and power forward positions,P413,Forwards
Marcelo Nicola,Powerforwardbasketball,power forward,A very versatile power forward he was a regular member of the Argentine national basketball team and competed many years in the EuroLeague,P413,Forwards
Europe Basketball Academy,Spain,Spain,Europe Basketball Academy often referred to as EBA is a sports organization based in the prestigious coastal living area of  Vilanova i la Geltrú Province of Barcelona Spain 25 kilometers away from Barcelona city center,P17,Forwards
TD Garden,Massachusetts,Massachusetts,TD Garden sometimes colloquially referred to as simply the Garden is a multipurpose arena in Boston Massachusetts,P131,Forwards
Newington College,NewSouthWales,New South Wales,Newington College is a multicampus independent Uniting Church singlesex and coeducational early learning primary and secondary day and boarding school for boys located in Stanmore an innerwestern suburb of Sydney New South Wales Australia,P131,Forwards
Four Seasons Arena,UnitedStates,United States,The Four Seasons Arena is a multipurpose indoor sports and exhibition arena located in the city of Great Falls Montana in the United States,P17,Forwards
Goumenissa,Greece,Greece,Goumenissa Greek Γουμένισσα ɣuˈme̞nisa is a small traditional town in the Kilkis regional unit Central Macedonia Greece,P17,Forwards
Hersey Hawkins,Shootingguard,shooting guard,After starring at Chicagos Westinghouse High School the 63 190 m shooting guard attended Bradley University,P413,Forwards
Levon Kendall,Powerforwardbasketball,power forward,He plays at both power forward and center,P413,Forwards
Roberto Chiacig,Centerbasketball,center,Playing as a center his most notable achievement was the silver medal obtained by the Italian national team of which he was a member at the 2004 Summer Olympics,P413,Forwards
Eastern High School Pekin Indiana,Indiana,Indiana,Eastern High School is a public high school located in the small rural town of Pekin Indiana,P131,Forwards
Marcelinho Machado,Shootingguard,shooting guard,At a height of 201 m 67 tall and a weight of 95160kg 210160lbs he played at the shooting guard and small forward positions with small forward being his main position,P413,Forwards
Shikellamy High School,ShikellamySchoolDistrict,Shikellamy School District,It is part of the Shikellamy School District,P5353,Forwards
Westmont Hilltop High School,WestmontHilltopSchoolDistrict,Westmont Hilltop School District,It is the sole high school operated by the Westmont Hilltop School District,P5353,Forwards
Andrew Bogut,NationalBasketballAssociation,National Basketball Association,Andrew Michael Bogut born 28 November 1984 is an Australian former professional basketball player who spent the majority of his career playing in the National Basketball Association NBA,P118,Forwards
Lucio Angulo,Smallforward,small forward,He is a 200 m 6160ft 6 ¾ in tall small forward,P413,Forwards
1995 XXXI FIBA International Christmas Tournament,Spain,Spain,It took place at Palacio de Deportes de la Comunidad de Madrid Madrid Spain on 24 25 and 26 December 1995 with the participations of Real Madrid Teka champions of the 1994–95 FIBA European League Australia Rio Claro and Cuba,P17,Forwards
Crane High School Texas,UnitedStates,USA,Crane High School is a public high school located in Crane Texas USA,P17,Forwards
Hillsdale High School San Mateo California,California,California,Hillsdale High School is a public coeducational high school in San Mateo California serving grades 9–12 as part of the San Mateo Union High School District,P131,Forwards
Uichi Munakata,1936SummerOlympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
