Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Tariq AbdulWahad,National Basketball Association,NBA,He was the first player to be raised in France and play in the NBA,P118,Forwards
Sandra Tomlinson,Basketball,basketball,1947 is a former Australian womens basketball player,P641,Forwards
Santa Rosa High School Texas,United States,USA,Santa Rosa High School also abbreviated as  SRHS is a public high school located in Santa Rosa Texas USA,P17,Forwards
Mayumi Kawasaki basketball,Basketball,basketball,Mayumi Kawasaki born 1 October 1972 is a Japanese basketball player,P641,Forwards
Ron Kellogg,Basketball,basketball,Ronald Allison Kellogg Jr born December 19 1962 is a retired American college and professional basketball player best known for his college days as a lefthanded sharpshooter for the successful Larry Browncoached Kansas Jayhawks teams of the mid1980s,P641,Forwards
Norman Clarke basketball,Basketball,basketball,Norman Clarke born 27 June 1960 is a Canadian basketball player,P641,Forwards
USSR Basketball Cup,Basketball,basketball,The USSR Basketball Cup or Soviet Union Basketball Cup was the national basketball cup competition of the former Soviet Union,P641,Forwards
Anastacio Reyes,Basketball,basketball,Anastacio Reyes born 19 November 1949 is a Mexican basketball player,P641,Forwards
Khristo Tsvetkov,Basketball,basketball,Khristo Tsvetkov 6 March 1934 8211 31 January 2018 was a Bulgarian basketball player,P641,Forwards
Kimiko Hashimoto,Basketball,basketball,Kimiko Hashimoto 橋本 きみ子 Hashimoto Kimiko born 17 February 1953 is a Japanese basketball player,P641,Forwards
1967 in sports,1966 in sports,1966,1964160196516019661601967160196816019691601970,P155,Forwards
Robbie Cadee,Basketball,basketball,Robert Robbie Cadee born 27 August 1950 is an Australian former mens basketball player and coach,P641,Forwards
Riga,Latvia,Latvia,Riga ˈriːɡə Latvian Rīga ˈriːɡa32listen Livonian Rīgõ is the capital of Latvia and is home to 614618 inhabitants 2021 which is a third of Latvias population,P131,Forwards
Andrew Gaze,Basketball,basketball,Andrew Barry Casson Gaze AM born 24 July 1965 is an Australian former professional basketball player and coach,P641,Forwards
2017 NBA Summer League,Basketball,basketball,The 2017 NBA Summer League consisted of three pro basketball leagues organized by the National Basketball Association NBA the Orlando Pro Summer League Utah Jazz Summer League and Las Vegas Summer League,P641,Forwards
Cedar Creek High School Texas,United States,USA,Cedar Creek High School is a public high school located in Cedar Creek Texas USA and classified as a 5A school by the UIL,P17,Forwards
Gianluca Basile,Basketball,basketball,Gianluca Basile born January 24 1975 is an Italian former professional basketball player,P641,Forwards
Wollongong Entertainment Centre,New South Wales,New South Wales,Wollongong Entertainment Centre also known by its naming rights sponsor WIN Entertainment Centre and colloquially as the WEC is a multipurpose indoor arena located in Wollongong New South Wales Australia,P131,Forwards
Clifford Luyk,Basketball,basketball,Clifford Luyk Diem born June 28 1941 is an Americanborn former basketball player and coach who played professionally in Spain and Europe from 1962 to 1978,P641,Forwards
Ontario,Ottawa,Ottawa,It is home to the nations capital city Ottawa and the nations most populous city Toronto which is also Ontarios provincial capital,P131,Backwards
Caio Torres,Basketball,basketball,Caio Aparecido Da Silveira Torres born 3 June 1987 is a Brazilian professional basketball player,P641,Forwards
1969 in sports,1968 in sports,1968,1966160196716019681601969160197016019711601972,P155,Forwards
Memos Ioannou,Basketball,basketball,Agamemnon Memos Ioannou Greek Αγαμέμνων Μέμος Ιωάννου born 15 April 1958 in Greece is a retired Greek professional basketball player and coach,P641,Forwards
Ioannis Spanoudakis,Basketball,basketball,Ioannis Spanoudakis alternate spellings Giannis Yiannis Yannis Greek Ιωάννης Γιάννης Σπανουδάκης 1930 – 10 June 2010 was a Greek basketball player and coach,P641,Forwards
Jacques Dessemme,Basketball,basketball,Jacques Dessemme 16 September 1925 8211 23 March 2019 was a French basketball player,P641,Forwards
Oscar Furlong,Basketball,basketball,Oscar Alberto Furlong 22 October 1927 – 11 June 2018 was an Argentine basketball player and tennis player and coach,P641,Forwards
Alexandreio Melathron Nikos Galis Hall,Greece,Greece,Alexandreio Melathron Nikos Galis Hall Greek Αλεξάνδρειο Μέλαθρον Σάλα Νίκος Γκάλης is an indoor sports arena that is located in Thessaloniki Greece,P17,Forwards
Laimonas Kisielius,Basketball,basketball,Laimonas Kisielius born 24 January 1985 is a Lithuanian professional basketball player,P641,Forwards
Wong NanChen,1936 Summer Olympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
Nikos Angelopoulos,Basketball,basketball,Nikolaos Nikos Angelopoulos Greek Νικόλαος Νίκος Αγγελόπουλος born June 27 1984 is a Greek professional basketball player,P641,Forwards
Greater Johnstown High School,United States,United States,Greater Johnstown High School is a public high school in the eastern United States located in between the neighborhoods of Moxham 8th Ward and Hornerstown in Johnstown Pennsylvania,P17,Forwards
Carlos Badion,Basketball,basketball,Carlos Velasco Badion August 16 1935 – June 20 2002 is a former Filipino basketball player,P641,Forwards
Muene Tshijuka,Basketball,basketball,Muene Tshijuka born 12 May 1973 is a Congolese basketball player,P641,Forwards
Itasca High School Texas,United States,USA,Itasca High School is a 2A public high school located in Itasca Texas USA,P17,Forwards
The Leon M Goldstein High School for the Sciences,New York state,New York,Goldstein High School for the Sciences at Kingsborough Community College CUNY formerly Kingsborough High School for the Sciences at Kingsborough Community College CUNY from 1993 to 1999 is a fouryear high school grades 912 located in Manhattan Beach Brooklyn New York,P131,Forwards
Zbigniew Dregier,Basketball,basketball,Zbigniew Dregier born 17 July 1935 is a Polish former basketball player,P641,Forwards
Lohn High School,United States,USA,Lohn High School or Lohn School is a public high school located in unincorporated Lohn Texas USA and classified as a 1A school by the UIL,P17,Forwards
Valeri Tikhonenko,Basketball,Basketball,Mens Basketball,P641,Forwards
William J Brennan High School,United States,United States,Brennan High School is the tenth public high school in the Northside Independent School District of San Antonio Texas United States,P17,Forwards
Sharone Wright,Basketball,basketball,Sharone Addaryl Wright born January 30 1973 is a retired American professional basketball player,P641,Forwards
Calixto Malcom,Basketball,basketball,Calixto Malcom 15 February 1947 8211 February 2021 was a Panamanian basketball player,P641,Forwards
Heritage Bank Center,Cincinnati,Cincinnati,Heritage Bank Center is an indoor arena located in downtown Cincinnati along the banks of the Ohio River next to the Great American Ball Park,P131,Forwards
Alpine High School,United States,USA,Alpine High School is a public high school located in the city of Alpine Texas USA and is classified as a 3A school by the UIL,P17,Forwards
Delaware,United States,United States,statestate in the MidAtlantic region of the United States91a93 bordering Maryland to its south and west Pennsylvania to its north and New Jersey and the Atlantic Ocean to its east,P131,Forwards
James Pace High School,United States,USA,James Pace High School is a 5A public high school in Brownsville Texas USA,P17,Forwards
1953 Latin Cup basketball,Spain,Spain,It took place at Frontón Recoletos Madrid Spain on April 58 1953 with the participations of Real Madrid Borletti Milano Milano champions of the 1951–52 Lega Basket Serie A ASVEL champions of the 1951–52 Nationale 1 and Jonction champions of the 1952–53 Ligue Nationale A,P17,Forwards
Wlamir Marques,Small forward,small forward,At a height of 185 m 61 tall he played at the small forward position,P413,Forwards
Melvin Ejim,Basketball,basketball,Melvin Obinna Ejim pronounced EDGEum born March 4 1991 is a NigerianCanadian professional basketball player for Budućnost of the Montenegrin Basketball League,P641,Forwards
Shoji Kamata,Basketball,basketball,Shoji Kamata 鎌田 正司 Kamata Shōji born 17 April 1935 is a Japanese basketball player,P641,Forwards
1968 in sports,1969 in sports,1969,1965160196616019671601968160196916019701601971,P156,Forwards
Josef Moc,Basketball,basketball,Josef Moc born January 22 1908 date of death unknown was a Czech basketball player who competed for Czechoslovakia in the 1936 Summer Olympics,P641,Forwards
Charles OBannon,National Basketball Association,National Basketball Association,OBannon played two seasons in the National Basketball Association NBA with the Detroit Pistons and also played overseas in Japan Poland and Italy,P118,Forwards
1968 IV FIBA International Christmas Tournament,Spain,Spain,It took place at Sports City of Real Madrid Pavilion Madrid Spain on 24 25 and 26 December 1968 with the participations of Real Madrid champions of the 1967–68 FIBA European Champions Cup Uruguay Meralco Reddy Kilowatts and Picadero,P17,Forwards
Mountain East Conference Mens Basketball Tournament,Basketball,basketball,The Mountain East Conference Mens Basketball Tournament is the annual conference basketball championship tournament for the Mountain East Conference,P641,Forwards
All City High,Rochester New York,Rochester New York,All City High also known as John Marshall High School is located at 180 Ridgeway Ave in Rochester New York near Kodak Park,P131,Forwards
Basketball at the Summer Universiade,Basketball,Basketball,Basketball tournaments have been staged at the Universiade since 1959,P641,Forwards
Zorica Mitov,Basketball,basketball,Zorica Mitov Serbian Cyrillic Зорицa Митов born 17 March 1988 is a Serbian female basketball player,P641,Forwards
Chantelle Anderson,Basketball,basketball,Chantelle Denise Anderson ʃɔːnˈtɛl shawnTEL born January 22 1981 is a retired LebaneseAmerican collegiate and professional basketball player who has played in the Womens National Basketball Association WNBA and overseas,P641,Forwards
FIBA Oceania Youth Tournament,Basketball,basketball,FIBA Oceania Youth Tournament is a basketball tournament that take every two years between under20 national teams of the continent,P641,Forwards
Saulius Kulvietis,Small forward,small forward,He plays for small forward and power forward positions,P413,Forwards
Misan Haldin,Basketball,basketball,Misan Haldin born 7 July 1982 as Eyinmisan Edward Ogharanemeye Nikagbatse is a German former basketball player,P641,Forwards
Bang Wonsun,Basketball,basketball,Bang Wonsun was a South Korean basketball player,P641,Forwards
Charles Barkley,Basketball,basketball,Charles Wade Barkley born February 20 1963 is an American former professional basketball player who is an analyst on Inside the NBA,P641,Forwards
Veria,Greece,Greece,Veria Greek Βέροια or Βέρροια officially transliterated Veroia historically also spelled Berea or Berœa is a city in Central Macedonia in the geographic region of Macedonia northern Greece capital of the regional unit of Imathia,P17,Forwards
Danny Ferry,National Basketball Association,National Basketball Association,Daniel John Willard Ferry born October 17 1966 is an American former professional basketball player in the National Basketball Association NBA and an AllAmerican college player at Duke University,P118,Forwards
Diana Sadovnykova,Basketball,basketball,Diana Sadovnykova born 26 July 1971 is a Ukrainian basketball player,P641,Forwards
Gangwon Province South Korea,South Korea,South Korea,Gangwon Province is a province of South Korea with its capital at Chuncheon,P17,Forwards
Oscar Schmidt,Basketball,basketball,Oscar Daniel Bezerra Schmidt born February 16 1958 is a retired Brazilian professional basketball player,P641,Forwards
TriCounty School District Minnesota,United States,United States,TriCounty School District 2358 commonly shortened to TCS is a public school district located in northwest Minnesota United States,P17,Forwards
Komotini,Greece,Greece,Komotini Greek Κομοτηνή Bulgarian Гюмюрджина Gyumyurdjina Turkish Gümülcine is a city in the region of East Macedonia and Thrace northeastern Greece,P17,Forwards
Chucky Atkins,Basketball,basketball,Kenneth Lavon Chucky Atkins born August 14 1974 is an American former professional basketball player who played for nine different NBA teams throughout his career,P641,Forwards
Kakengwa Pikinini,Basketball,basketball,Kakengwa Pikinini born 29 June 1971 is a Congolese basketball player,P641,Forwards
Vladimir Kondrashin,Basketball,basketball,Vladimir Petrovich Kondrashin Cyrillic Владимир Петрович Кондрашин 14 January 1929 in Leningrad Soviet Union – 23 December 1999 in Saint Petersburg Russia was a Russian professional basketball player and coach,P641,Forwards
New York state,United States,United States,statestate in the MidAtlantic and Northeastern regions of the United States,P17,Forwards
Jerry Vayda,Basketball,basketball,Jerome Joseph Vayda July 18 1934 – February 16 1978 was an American basketball player,P641,Forwards
Serbian Basketball Player of the Year,Basketball,basketball,The Serbian Basketball Player of the Year award is established in 2015 to recognize the best basketball player of the year from Serbia,P641,Forwards
Miguel Cortijo,Argentina,Argentine,Miguel Alberto Cortijo born August 22 1958 in La Banda Santiago del Estero is a retired Argentine basketball player,P27,Forwards
Cyprus Basketball Federation,Basketball,basketball,The Cyprus Basketball Federation CBF Greek Κυπριακή Ομοσπονδία Καλαθοοσφαίρισης ΚΟΚ is the governing body for basketball on the island of Cyprus and is a division of the Cyprus Sport Organisation ΚΟΑΚυπριακός Οργανισμός Αθλητισμού,P641,Forwards
Samuel Campis,Basketball,basketball,Samuel Campis born 10 September 1948 is a Mexican basketball player,P641,Forwards
Binghamton New York,United States,United States,Binghamton ˈbɪŋəmtən is a city in and the county seat of Broome County New York United States,P17,Forwards
Cliff Hodge,Basketball,basketball,Clifford Marion Cliff Hodge born February 3 1988 is a FilipinoAmerican basketball player for the Meralco Bolts of the Philippine Basketball Association PBA,P641,Forwards
Kim Mulkey,Basketball,basketball,Kimberly Duane Mulkey born May 17 1962 is the head womens basketball coach at LSU,P641,Forwards
David Descalzo,Basketball,basketball,David Descalzo died 27 July 2004 was a Peruvian basketball player,P641,Forwards
Martti Liimo,Basketball,basketball,Martti Liimo 26 September 1941 8211 1 December 1995 was a Finnish basketball player,P641,Forwards
Shaquille ONeal,Basketball,basketball,Shaquille Rashaun ONeal ʃəˈkiːl shəKEEL ʃæk SHAK born March 6 1972 is an American former professional basketball player who is a sports analyst on the television program Inside the NBA,P641,Forwards
Julien Meuris,Basketball,basketball,Julien Meuris born 21 March 1922 was a Belgian basketball player,P641,Forwards
Great Midwest Athletic Conference Mens Basketball Tournament,Basketball,basketball,The Great Midwest Athletic Conference GMAC Mens Basketball Tournament is the annual conference basketball championship tournament for the Great Midwest Athletic Conference,P641,Forwards
Mukendi Mbuyi,Basketball,basketball,Mukendi Mbuyi born 26 April 1960 is a Congolese basketball player,P641,Forwards
UCLA Bruins,NCAA Division I,NCAA Division I,The Bruin mens and womens teams participate in NCAA Division I as part of the Pac12 Conference and the Mountain Pacific Sports Federation MPSF,P118,Forwards
Piraeus,Greece,Greece,As of the 2011 census Piraeus had a population of 163688 people making it the fifth largest municipality in Greece and the second largest after the municipality of Athens within the Athens urban area,P17,Forwards
Blue Ridge High School Illinois,Illinois,Illinois,Blue Ridge High School is a high school in Farmer City Illinois,P131,Forwards
Copa Princesa de Asturias,Spain,Spanish,The Copa Princesa de Asturias de Baloncesto English Princess of Asturias Cup of Basketball is an annual 2ndtier level national cup competition for Spanish professional basketball teams that is organized by Spains 2ndtier level professional league the Liga Española de Baloncesto LEB,P17,Forwards
Edward Risk Allah,1936 Summer Olympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
Sergio Ferriani,Basketball,basketball,Sergio Ferriani 30 November 1925 8211 30 November 2001 was an Italian basketball player,P641,Forwards
Peristeri,Greece,Greece,Peristeri Greek Περιστέρι meaning pigeondove in Greek is a suburban municipality in the northwestern part of the Athens agglomeration Greece,P17,Forwards
Chris Carrawell,Basketball,basketball,Chris Carrawell born November 25 1977 is a retired American professional basketball player who is best known for his AllAmerican college career at Duke University,P641,Forwards
Basketball at the 1956 Summer Olympics,Basketball,Basketball,Basketball at the 1956 Summer Olympics was the fourth appearance of the sport of basketball as an official Olympic medal event,P641,Forwards
Miguel Estrada basketball,Basketball,basketball,Miguel Estrada born 16 June 1950 is a Spanish basketball player,P641,Forwards
William Howard Taft High School San Antonio,United States,United States,William Howard Taft High School is a public high school in the Northside Independent School District NISD of San Antonio Texas United States,P17,Forwards
Maree Jackson,Basketball,basketball,Maree Jackson née Bennie born 11 October 1954 is a retired Australian womens basketball player,P641,Forwards
Adecco Cup,Basketball,basketball,The Adecco Cup Slovene Pokal Adecco also known as the Adecco ExYu Cup in 2011 and 2012 is an international basketball friendly competition,P641,Forwards
McLean High School Texas,United States,USA,McLean High School or McLean School is a public high school located in the city of McLean Texas USA and classified as a 1A school by the UIL,P17,Forwards
Marcos Mata,Basketball,basketball,Marcos Daniel Mata born August 1 1986 is an Argentine professional basketball player,P641,Forwards
Tomas Ress,Center basketball,center,Standing at 211 m 6160ft 11 in he plays at the center position,P413,Forwards
BSN Season 2009,Basketball,basketball,The 2009 BSN season was the 89th season of the Baloncesto Superior Nacional BSN the mens basketball league of Puerto Rico,P641,Forwards
CB Guadalajara,Basketball,Basketball,Club Baloncesto Guadalajara was a professional Basketball team based in Guadalajara CastileLa Mancha Spain,P641,Forwards
Hazdayi Penso,1936 Summer Olympics,1936 Summer Olympics,He competed in the mens tournament at the 1936 Summer Olympics,P1344,Forwards
1966 Latin Cup basketball,Spain,Spain,It took place at Pabellón de la Ciudad Deportiva del Real Madrid Madrid Spain on 24 25 and 26 December 1966  with the participations of Simmenthal Milano champions of the 1965–66 FIBA European Champions Cup Real Madrid champions of the 1965–66 Liga Española de Baloncesto ASVEL champions of the 1965–66 Nationale 1 and a hrefwikiSLBenficabasketball titleSL,P17,Forwards
Basketball at the 2019 Pan American Games,Basketball,Basketball,Basketball competitions at the 2019 Pan American Games in Lima Peru began on July 27 and continue through August 10,P641,Forwards
Basketball at the 2015 Games of the Small States of Europe,Basketball,Basketball,Basketball at the 2015 Games of the Small States of Europe was held from 1 to 6 June 2015,P641,Forwards
Northwest Conference Mens Basketball Tournament,Basketball,basketball,The Northwest Conference Mens Basketball Tournament is the annual conference basketball championship tournament for the NCAA Division III Northwest Conference,P641,Forwards
Stepas Butautas,Lithuania,Lithuanian,Stepas Butautas alternate spellings Stiepas Butaustas 25 August 1925 – 22 March 2001 in Kaunas was a Lithuanian professional basketball player and coach,P27,Forwards
Reunion Arena,Basketball,basketball,The venues capacity held accommodations for 17000 for ice hockey spectators and 18190 for basketball spectators,P641,Forwards
RMAC Womens Basketball Tournament,Basketball,basketball,The Rocky Mountain Athletic Conference Womens Basketball Tournament is the annual conference womens basketball championship tournament for the Rocky Mountain Athletic Conference,P641,Forwards
Mohamed Sayed Soliman,Basketball,basketball,Mohamed Sayed Soliman born 2 November 1958 is an Egyptian basketball player,P641,Forwards
Sharnee ZollNorman,Basketball,basketball,Sharnee ZollNorman born July 11 1986 is an American former professional basketball player,P641,Forwards
GS Ilioupolis,Greece,Greece,Ηλιούπολης is a multisport club based in Ilioupoli Athens Greece,P17,Forwards
Panagiotis Kafkis,Point guard,point guard,During his playing career at a height of 197 m 6160ft 5 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 in tall he played at the point guard and shooting guard positions,P413,Forwards
Sonya Dragomirova,Basketball,basketball,Sonya Dragomirova born 7 September 1961 is a Bulgarian basketball player,P641,Forwards
Dave Hoppen,Center basketball,center,A 611 center Hoppen was selected by the Atlanta Hawks in the third round 65th pick overall of the 1986 NBA draft and played six NBA seasons,P413,Forwards
CB Ciudad de Burgos,Spain,Spain,Club Baloncesto Ciudad de Burgos was a womens professional Basketball team based in Burgos Spain,P17,Forwards
Chania Kladissos Indoor Hall,Greece,Greece,Chania Kladissos Indoor Hall alternate spellings Hania Kladisos Greek Κλειστό Κλαδισού Χανίων is a multipurpose indoor sports arena that is located in Chania on the island of Crete Greece,P17,Forwards
Mihai Nedef,Basketball,basketball,Mihai Nedef November 8 1931 8211 10 June 2017 was a Romanian basketball player who competed in the 1952 Summer Olympics,P641,Forwards
Waynesboro Area Senior High School,Waynesboro Area School District,Waynesboro Area School District,It is the sole high school operated by the Waynesboro Area School District,P5353,Forwards
Basketball Championship of Bosnia and Herzegovina Women,Basketball,basketball,The Basketball Championship of Bosnia and Herzegovina  is the highest womens professional club basketball competition in Bosnia and Herzegovina,P641,Forwards
Ta Sriratana,Basketball,basketball,Ta Sriratana born 1939 is a Thai basketball player,P641,Forwards
Brian Skinner,Basketball,basketball,Brian Skinner born May 19 1976 is an American former professional basketball player,P641,Forwards
Basketball Federation of Serbia,Basketball,basketball,The Basketball Federation of Serbia Serbian Кошаркашки савез Србије Košarkaški savez Srbije is a nonprofit organization and the national sports governing body for basketball in Serbia,P641,Forwards
Wong Kim Poh,Basketball,basketball,Wong Kim Poh 12 February 1934 8211 29 October 2013 was a Singaporean basketball player,P641,Forwards
Ryszard Olszewski,Basketball,basketball,Ryszard Olszewski 7 June 1932 8211 2 February 2020 was a Polish basketball player,P641,Forwards
Olympiacos CFP,Greece,Greece,Olympiacos Sindesmos Filathlon Pireos Greek Ολυμπιακός Σύνδεσμος Φιλάθλων Πειραιώς Olympic Club of Fans of Piraeus is a major multisport club based in Piraeus Greece,P17,Forwards
Igors Miglinieks,Basketball,basketball,Igors Miglinieks born 4 May 1964 is a retired Soviet and Latvian professional basketball player and coach,P641,Forwards
Episcopal High School Bellaire Texas,United States,United States,Episcopal High School is a fouryear coeducational private day school located on a 34acre 140000160m2 campus in Bellaire Texas United States in Greater Houston,P17,Forwards
Marina Mabrey,Basketball,basketball,Marina Mabrey born September 14 1996 in Belmar New Jersey is an American basketball player with the Dallas Wings of the Womens National Basketball Association WNBA,P641,Forwards
1981 in sports,1980 in sports,1980,1978160197916019801601981160198216019831601984,P155,Forwards
1960 in sports,1961 in sports,1961,1957160195816019591601960160196116019621601963,P156,Forwards
Diego Lo Grippo,Small forward,small forward,He is 198160m 6160ft 6160in tall and he plays the positions of small forward and power forward,P413,Forwards
Basketball at the 1993 Summer Universiade,Basketball,Basketball,Basketball events were contested at the 1993 Summer Universiade in Buffalo New York USA,P641,Forwards
Manute Bol,Center basketball,center,A center Bol is considered among the best shotblockers in the history of the sport and is the only NBA player to retire with more career blocked shots than points scored,P413,Forwards
Dimitrios Taliadoros,Basketball,basketball,Dimitrios Takis Taliadoros 1925 8211 25 May 2011 was a Greek basketball player,P641,Forwards
Alejandro Montecchia,Point guard,point guard,He played at the point guard position,P413,Forwards
Carlo Caglieris,Basketball,basketball,Carlo Caglieris born 2 July 1951 is an Italian former basketball player,P641,Forwards
Theodoros Papaloukas,2006 FIBA World Championship,2006,Papaloukas helped lead the Greek national team to a EuroBasket title in 2005 as well as to a FIBA World Cup silver medal in 2006 while always coming off the bench of the Greek national team,P1344,Forwards
EuroCup Women,Basketball,basketball,The EuroCup Women officially FIBA EuroCup Women is the secondcaliber professional basketball league with teams from European clubs from national leagues joined in FIBA Europe,P641,Forwards
Iraan High School,United States,US,Iraan High School is a public high school located in Iraan Texas US and classified as a 1A school by the UIL,P17,Forwards
Georgios Tsalmpouris,Basketball,basketball,Georgios Tsalmpouris alternate spelling Giorgos Tsalbouris Greek Γιώργος Τσαλμπούρης born 22 June 1996 in Veroia Greece is a Greek professional basketball player for a hrefwikiPAOKBC titlePAOK,P641,Forwards
Rotan High School,United States,USA,Rotan High School is a public high school located in Rotan Texas USA and classified as a 1A school by the UIL,P17,Forwards
Gustine High School Texas,United States,USA,Gustine High School is a public primary intermediate and high school located in Gustine Texas USA and classified as a 1A school by the UIL,P17,Forwards
Moukhtar Sayed,Basketball,basketball,Moukhtar Sayed born 16 April 1942 is a Moroccan basketball player,P641,Forwards
Culture of Argentina,Argentina,Argentina,Argentine writer reflected on the nature of the culture of Argentina as follows,P17,Forwards
1978 FIBA Intercontinental Cup,Basketball,basketball,The 1978 FIBA Intercontinental Cup William Jones was the 12th edition of the FIBA Intercontinental Cup for mens basketball clubs,P641,Forwards
Christy Walsh basketball,Basketball,basketball,Christopher Christy Walsh 1920 – 1 December 1985 was an Irish basketball player,P641,Forwards
Lee Kumjin,Basketball,basketball,Lee Kumjin born 1 February 1965 is a South Korean basketball player,P641,Forwards
MiddWest High School,MiddWest School District,MiddWest School District,It is the sole high school operated by MiddWest School District,P5353,Forwards
Basketball at the 1936 Summer Olympics,Basketball,Basketball,Basketball at the 1936 Summer Olympics was the first appearance of the sport of basketball as an official Olympic medal event,P641,Forwards
Leandro Palladino,Basketball,basketball,Leandro Fabián Palladino born January 13 1976 is a retired ArgentineItalian professional basketball player,P641,Forwards
RosebudLott High School,United States,USA,RosebudLott High School is a public high school in unincorporated Travis Texas USA and classified as a 2A school by the UIL,P17,Forwards
Club Universitario de Rosario,Argentina,Argentine,The Club Universitario de Rosario is an Argentine sports club based in the city of Rosario,P17,Forwards
PSAC Mens Basketball Tournament,Basketball,basketball,The Pennsylvania State Athletic Conference PSAC Mens Basketball Tournament is the annual conference basketball championship tournament for the Pennsylvania State Athletic Conference,P641,Forwards
Lileko Bonzali,Basketball,basketball,Lileko Bonzali born 4 February 1969 is a Congolese basketball player,P641,Forwards
Greg Dreiling,Center basketball,center,Dreiling played center,P413,Forwards
Waring School,Massachusetts,Massachusetts,Waring School is a coeducational private school in Beverly Massachusetts United States for students in grades 612,P131,Forwards
Dmitry Shakulin,Basketball,basketball,Dmitry Shakulin born May 11 1968 is a Russian basketball coach and former player,P641,Forwards
Ioannis Milonas,Basketball,basketball,Ioannis Milonas alternate spelling Giannis Greek Γιάννης Μυλωνάς born July 27 1969 in Trikala Greece is a retired Greek professional basketball player,P641,Forwards
Basketball at the 1948 Summer Olympics,Basketball,Basketball,Basketball at the 1948 Summer Olympics was the second appearance of the sport of basketball as an official Olympic medal event,P641,Forwards
The Venue at UCF,Orlando Florida,Orlando,The Venue at UCF is a sports and entertainment arena located in Orlando Florida on the main campus of The University of Central Florida,P131,Forwards
Valeri Tikhonenko,Power forward basketball,power forward,During his playing career he played at the small forward and power forward positions with power forward being his main position,P413,Forwards
Darrall Imhoff,Basketball,basketball,Darrall Tucker Imhoff October 11 1938 – June 30 2017 was an American professional basketball player,P641,Forwards
Daniel Levy basketball,Basketball,basketball,Daniel Levy 29 October 1930 8211 1 June 2020 was an Israeli basketball player,P641,Forwards
South San Antonio High School,United States,United States,South San Antonio High School is a public high school located in the city of San Antonio Texas United States and classified as a 6A school by the UIL,P17,Forwards
Chris Corchiani,Basketball,basketball,Christopher Corchiani Sr born March 28 1968 is an AmericanItalian former professional basketball player,P641,Forwards
Bang Yeol,Basketball,basketball,Bang Yeol born 10 October 1941 is a South Korean basketball player,P641,Forwards
1975 XI FIBA International Christmas Tournament,Spain,Spain,It took place at Sports City of Real Madrid Pavilion Madrid Spain on 24 25 and 26 December 1975 with the participations of Real Madrid runnersup of the 1974–75 FIBA European Champions Cup Palmeiras Arizona State Sun Devils and Estudiantes Monteverde,P17,Forwards
Sanderson High School Texas,United States,USA,Sanderson High School is a public high school located in Sanderson Texas USA,P17,Forwards
Simon Fraser University athletics,NCAA Division II,NCAA Division II,They are members of NCAA Division II and are the only Canadian university affiliated with the USbased National Collegiate Athletic Association,P118,Forwards
1953 in sports,1952 in sports,1952,1950160195116019521601953160195416019551601956,P155,Forwards
Penn Manor High School,Penn Manor School District,Penn Manor School District,It is the sole high school operated by the Penn Manor School District,P5353,Forwards
Marcel Moget,Basketball,basketball,Marcel Moget born 23 April 1931 is a Swiss basketball player,P641,Forwards
CCAA Mens Basketball Tournament,Basketball,basketball,The California Collegiate Athletic Association Mens Basketball Tournament is the annual conference basketball championship tournament for the California Collegiate Athletic Association,P641,Forwards
Heraklion University Sports Hall,Basketball,basketball,The indoor hall can be used to host several different events with its primary use being to host basketball games concerts and the graduation ceremonies of the university,P641,Forwards
Gianluca Basile,Shooting guard,shooting guard,At a height of 192 m 63 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 tall and a weight of 95160kg 210160lbs he mainly played at the shooting guard position,P413,Forwards
Fanis Koumpouras,Point guard,point guard,He is 6160ft 1 mwparseroutput fracwhitespacenowrapmwparseroutput frac nummwparseroutput frac denfontsize80lineheight0verticalalignsupermwparseroutput frac denverticalalignsubmwparseroutput sronlyborder0cliprect0000height1pxmargin1pxoverflowhiddenpadding0positionabsolutewidth1px382604 in 187 m in height and he plays at the point guard position,P413,Forwards
Chikako Murakami,Basketball,basketball,Chikako Murakami born 10 October 1970 is a Japanese basketball player,P641,Forwards
Nikos Linardos,Basketball,basketball,Nikos Linardos Greek Νίκος Λινάρδος born August 26 1963 in Greece is a retired Greek professional basketball player and coach,P641,Forwards
New York state,United States,United States,statestate in the MidAtlantic and Northeastern regions of the United States,P131,Forwards
Palau Municipal dEsports de Badalona,Spain,Spain,Palau Municipal dEsports de Badalona also known as the Pavelló Olímpic de Badalona is an arena in the Gorg area of Badalona Catalonia Spain,P17,Forwards
