Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Holy See–United States relations,Holy See,Holy See,United States–Holy See relations are bilateral relations between the United States and the Holy See,P710,Forwards
Burqush,Syria,Syria,Burqush or Burkush Arabic برقش8206 is an archaeological site situated 30 kilometres 19160mi west of Damascus Syria,P17,Forwards
Villa Aldobrandini,Italy,Italy,The Villa Aldobrandini is a villa in Frascati Italy,P17,Forwards
Flavius Justus,Roman Empire,Roman Empire,Justus was a contemporary of the ruling Flavian dynasty and Nerva–Antonine dynasty of the Roman Empire,P2348,Forwards
Provinces of Italy,Italy,Italian Republic,The provinces of Italy Italian province dItalia are the constituent entities of the Italian Republic on an intermediate level between a municipality comune and a region regione,P17,Forwards
Marcus Aemilius Scaurus praetor 56 BC,Ancient Rome,Roman,Marcus Aemilius Scaurus fl 65–53 BC was a Roman politician of the 1st century BC and son of Marcus Aemilius Scaurus and Caecilia Metella,P19,Forwards
Coggabata,Ancient Rome,Roman,Coggabata or Congavata  Concavata with the modern name of Drumburgh was a Roman fort on Hadrians Wall between Aballava Burgh by Sands to the east and Mais BownessonSolway to the west,P2596,Forwards
Bosnia and Herzegovina,Republika Srpska,Republika Srpska,However the central governments power is highly limited as the country is largely decentralized and comprises two autonomous entities the Federation of Bosnia and Herzegovina and Republika Srpska with a third unit the Brčko District governed under local government,P1336,Backwards
Marcus Licinius Crassus,Battle of Carrhae,battle of Carrhae,Crassus campaign was a disastrous failure ending in his defeat and death at the battle of Carrhae,P607,Forwards
570s BC,580s BC,580s160,590s160BC580s160BC570s160BC560s160BC550s160BC,P156,Backwards
Mettenheim RhinelandPalatinate,Germany,Germany,Mettenheim is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the AlzeyWorms district in RhinelandPalatinate Germany,P17,Forwards
Porcia gens,Cato the Elder,Marcus Porcius Cato, The first of the gens to achieve the consulship was Marcus Porcius Cato in 195 BC and from then until imperial times the Porcii regularly occupied the highest offices of the Roman state,P5025,Backwards
Santa Maria degli Angeli e dei Martiri,Italy,Italy,Mary of the Angels and the Martyrs Latin Beatissimae Virginis et omnium Angelorum et Martyrum Italian Santa Maria degli Angeli e dei Martiri is a basilica and titular church in Rome Italy built inside the ruined frigidarium of the Roman Baths of Diocletian in the Piazza della Repubblica,P17,Forwards
Egilia gens,Ancient Rome,Rome,The gens Egilia was a plebeian family at Rome,P17,Forwards
Granitesteppe lands of Buh,Ukraine,Ukraine,Granitesteppe lands of Buh is a regional landscape park in the northwest of Mykolaiv Oblast in Ukraine,P17,Forwards
Uni mythology,Goddess,goddess,Uni is the ancient goddess of marriage fertility family and women in Etruscan religion and myth and the patron goddess of Perugia,P31,Forwards
Caecia gens,Ancient Rome,Roman,The gens Caecia was a Roman family during the late Republic,P17,Forwards
Argentiera,Sassari,Sassari,Argentiera is a small town and a frazione hamlet in the comune of Sassari in Sardinia Italy,P131,Forwards
Heroön,Ancient Rome,Roman,ἡρῷα hērôia also latinized as heroum is a shrine dedicated to an ancient Greek or Roman hero and used for the commemoration or cult worship of the hero,P2596,Forwards
Fifth Crusade,Pope Innocent III,Pope Innocent III,Pope Innocent III and his successor Pope Honorius III organized crusading armies led by King Andrew II of Hungary and Duke Leopold VI of Austria and an attack against Jerusalem ultimately left the city in Muslim hands,P607,Backwards
Robert Guibé,Catholic Church,Roman Catholic,Robert Guibé died 1513 called the Cardinal of Nantes was a French Roman Catholic bishop and cardinal,P140,Forwards
Pope Pius XI,Vatican City,Vatican City,He was the first sovereign of Vatican City from its creation as an independent state on 11 February 1929,P937,Forwards
Pilismarót,Hungary,Hungary,Pilismarót is a village in KomáromEsztergom county Hungary,P17,Forwards
Castello Estense,Italy,Italy,Michaels castle’ is a moated medieval castle in the center of Ferrara northern Italy,P17,Forwards
Latin,Roman Empire,Roman Empire,Through the power of the Roman Republic it became the dominant language in Italy and subsequently throughout the western Roman Empire before eventually becoming a dead language,P2936,Backwards
Naples Plague 1656,Naples,Naples,The Naples Plague refers to a plague in Italy between 1656–1658 that nearly eradicated the population of Naples,P131,Forwards
Siege of Jerusalem 70 CE,Second Temple,Second Temple,The siege lasted for about five months it ended in August 70 CE on Tisha BAv with the burning and destruction of the Second Temple,P793,Backwards
Greece,Greek language,Greek,Greece Greek Ελλάδα Elláda eˈlaða officially the Hellenic Republic91b93 is a country located in Southeast Europe,P17,Backwards
Mattersburg,Austria,Austria,Mattersburg German pronunciation32ˈmatɐsˌbʊʁk32listen formerly Mattersdorf Hungarian Nagymarton Croatian Materštof is a town in Burgenland Austria,P17,Forwards
Sierra del Sueve,Spain,Spain,The Sierra del Sueve is a limestone massif located close to the coast in the eastcentral area of Asturias Spain,P17,Forwards
Tyrrhenian Sea,Italy,Italy,The Tyrrhenian Sea tɪˈriːniən Italian Mar Tirreno mar tirˈrɛːno French Mer Tyrrhénienne mɛʁ tiʁenjɛn Sardinian Mare Tirrenu Corsican Mari Tirrenu Sicilian Mari Tirrenu Neapolitan Mare Tirreno is part of the Mediterranean Sea off the western coast of Italy,P205,Forwards
Marcus Licinius Crassus,Battle of Carrhae,battle of Carrhae,Crassus campaign was a disastrous failure ending in his defeat and death at the battle of Carrhae,P710,Backwards
Laetilia gens,Ancient Rome,Roman,The gens Laetilia was a minor Roman family during the final century of the Republic and under the early Empire,P17,Forwards
Triumphal Procession,Triumphal Arch woodcut,Triumphal Arch, The other two projects were largely designed by Albrecht Dürer a Triumphal Arch 15125 192 woodcut panels ,P179,Backwards
Tobia Aoun,First Vatican Council,First Vatican Council,Tobia Aoun December 1803 – 4 April 1871 Tubiya Tobias Tubiyya Aun Awn was an Assistant to the Pontifical Throne Archbishop of Beirut Count of Rome Bishop of SaintJohnAcre Knight of the French Legion of Honour Knight of the Ottoman Order of the Medjidie and Council Father of the First Vatican Council,P710,Backwards
Frederick I Holy Roman Emperor,Holy Roman Emperor,Holy Roman Emperor,Frederick Barbarossa 1122 – 10 June 1190 also known as Frederick I German Friedrich I Italian Federico I was the Holy Roman Emperor from 1155 until his death 35 years later,P97,Forwards
Agropoli,Province of Salerno,province of Salerno,Agropoli is a town and comune located in the Cilento area of the province of Salerno Campania Italy,P131,Forwards
Dover Immigration Removal Centre,Dover,Dover,Dover Immigration Removal Centre formerly known as Dover Prison was an immigration detention centre located in the historic citadel of the Western Heights fortifications in Dover England,P131,Forwards
Pope Innocent XII,Papal States,Papal States,Pope Innocent XII Latin Innocentius XII 13 March 1615160– 27 September 1700 born Antonio Pignatelli was head of the Catholic Church and ruler of the Papal States from 12 July 1691 to his death in 1700,P937,Forwards
Gaius Lucilius,Ancient Rome,Roman,180 – 10302 BC the earliest Roman satirist of whose writings only fragments remain was a Roman citizen of the equestrian class born at Suessa Aurunca in Campania,P27,Forwards
Pescia Fiorentina,Italy,Italy,Pescia Fiorentina is a village in Tuscany central Italy administratively a frazione of the comune of Capalbio province of Grosseto,P17,Forwards
Friedberg Hesse,Germany,Germany,Friedberg Friedberg in der Wetterau is a town and the capital of the Wetteraukreis district in Hesse Germany,P17,Forwards
Malatestino Malatesta,Pandolfo I Malatesta,Pandolfo I,Malatestino was succeeded laterally by his brother Pandolfo I,P3373,Forwards
Laubenheim,Germany,Germany,Laubenheim is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Bad Kreuznach district in RhinelandPalatinate Germany,P17,Forwards
Letizia Bonaparte,Napoleon,Napoleon I of France,MariaLetizia Buonaparte91a93 née Ramolino91b93 24 August 174991c93 – 2 February 1836  known as Letizia Bonaparte was a Corsican noblewoman mother of Napoleon I of France,P25,Backwards
VitryenArtois,PasdeCalais,PasdeCalais,VitryenArtois is a commune and in the PasdeCalais department in the HautsdeFrance region of France,P131,Forwards
Vigili del Fuoco,Italy,Italy,The Vigili del Fuoco is Italys institutional agency for fire and rescue service,P17,Forwards
Lebanon,France,French,The French expanded the borders of the Mount Lebanon Governorate which was predominately Maronite and Druze to include more Muslims91citation needed93 Upon independence in 1943 Lebanon established a unique confessionalist form of government with the major religious sects apportioned specific political powers,P530,Forwards
Iberians,Turdetani,Turdetani,The rest of the peninsula in the northern central and northwestern areas was inhabited by Celts or Celtiberians groups and the possibly PreCeltic or ProtoCeltic IndoEuropean Lusitanians Vettones and the Turdetani,P279,Backwards
Sistine Chapel,Vatican City,Vatican City,The Sistine Chapel ˌsɪstiːn ˈtʃæpəl Latin Sacellum Sixtinum Italian Cappella Sistina kapˈpɛlla siˈstiːna is a chapel in the Apostolic Palace the official residence of the pope in Vatican City,P131,Forwards
Arcadius,Theodosius I,Theodosius I,He was the eldest son of the augustus Theodosius I r160379–395 and his first wife Aelia Flaccilla and the brother of Honorius r160393–423,P22,Forwards
Cornelius Fuscus,Roman Empire,Roman Empire,In 85 AD the Dacians led by King Decebalus invaded the Roman Empire at Moesia a province located south of the Danube,P945,Forwards
Úbeda,Spain,Spain,Úbeda Spanish pronunciation160ˈuβeða from Iberian Ibiut is a town in the province of Jaén in Spains autonomous community of Andalusia with 34733 data 2017 inhabitants,P17,Forwards
Bust of Charlemagne,Charlemagne,Charlemagne,The Bust of Charlemagne de Karlsbüste is a reliquary from around 1350 which contains the top part of Charlemagnes skull,P138,Forwards
