Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Holy See–United States relations,Holy See,Holy See,United States–Holy See relations are bilateral relations between the United States and the Holy See,P710,Forwards
Burqush,Syria,Syria,Burqush or Burkush Arabic برقش8206 is an archaeological site situated 30 kilometres 19160mi west of Damascus Syria,P17,Forwards
Villa Aldobrandini,Italy,Italy,The Villa Aldobrandini is a villa in Frascati Italy,P17,Forwards
Provinces of Italy,Italy,Italian Republic,The provinces of Italy Italian province dItalia are the constituent entities of the Italian Republic on an intermediate level between a municipality comune and a region regione,P17,Forwards
Marcus Aemilius Scaurus praetor 56 BC,Ancient Rome,Roman,Marcus Aemilius Scaurus fl 65–53 BC was a Roman politician of the 1st century BC and son of Marcus Aemilius Scaurus and Caecilia Metella,P19,Forwards
Mettenheim RhinelandPalatinate,Germany,Germany,Mettenheim is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the AlzeyWorms district in RhinelandPalatinate Germany,P17,Forwards
Santa Maria degli Angeli e dei Martiri,Italy,Italy,Mary of the Angels and the Martyrs Latin Beatissimae Virginis et omnium Angelorum et Martyrum Italian Santa Maria degli Angeli e dei Martiri is a basilica and titular church in Rome Italy built inside the ruined frigidarium of the Roman Baths of Diocletian in the Piazza della Repubblica,P17,Forwards
Egilia gens,Ancient Rome,Rome,The gens Egilia was a plebeian family at Rome,P17,Forwards
Granitesteppe lands of Buh,Ukraine,Ukraine,Granitesteppe lands of Buh is a regional landscape park in the northwest of Mykolaiv Oblast in Ukraine,P17,Forwards
Caecia gens,Ancient Rome,Roman,The gens Caecia was a Roman family during the late Republic,P17,Forwards
Argentiera,Sassari,Sassari,Argentiera is a small town and a frazione hamlet in the comune of Sassari in Sardinia Italy,P131,Forwards
Pilismarót,Hungary,Hungary,Pilismarót is a village in KomáromEsztergom county Hungary,P17,Forwards
Castello Estense,Italy,Italy,Michaels castle’ is a moated medieval castle in the center of Ferrara northern Italy,P17,Forwards
Naples Plague 1656,Naples,Naples,The Naples Plague refers to a plague in Italy between 1656–1658 that nearly eradicated the population of Naples,P131,Forwards
Greece,Greek language,Greek,Greece Greek Ελλάδα Elláda eˈlaða officially the Hellenic Republic91b93 is a country located in Southeast Europe,P17,Backwards
Mattersburg,Austria,Austria,Mattersburg German pronunciation32ˈmatɐsˌbʊʁk32listen formerly Mattersdorf Hungarian Nagymarton Croatian Materštof is a town in Burgenland Austria,P17,Forwards
Sierra del Sueve,Spain,Spain,The Sierra del Sueve is a limestone massif located close to the coast in the eastcentral area of Asturias Spain,P17,Forwards
Marcus Licinius Crassus,Battle of Carrhae,battle of Carrhae,Crassus campaign was a disastrous failure ending in his defeat and death at the battle of Carrhae,P710,Backwards
Laetilia gens,Ancient Rome,Roman,The gens Laetilia was a minor Roman family during the final century of the Republic and under the early Empire,P17,Forwards
Tobia Aoun,First Vatican Council,First Vatican Council,Tobia Aoun December 1803 – 4 April 1871 Tubiya Tobias Tubiyya Aun Awn was an Assistant to the Pontifical Throne Archbishop of Beirut Count of Rome Bishop of SaintJohnAcre Knight of the French Legion of Honour Knight of the Ottoman Order of the Medjidie and Council Father of the First Vatican Council,P710,Backwards
Agropoli,Province of Salerno,province of Salerno,Agropoli is a town and comune located in the Cilento area of the province of Salerno Campania Italy,P131,Forwards
Dover Immigration Removal Centre,Dover,Dover,Dover Immigration Removal Centre formerly known as Dover Prison was an immigration detention centre located in the historic citadel of the Western Heights fortifications in Dover England,P131,Forwards
Gaius Lucilius,Ancient Rome,Roman,180 – 10302 BC the earliest Roman satirist of whose writings only fragments remain was a Roman citizen of the equestrian class born at Suessa Aurunca in Campania,P27,Forwards
Pescia Fiorentina,Italy,Italy,Pescia Fiorentina is a village in Tuscany central Italy administratively a frazione of the comune of Capalbio province of Grosseto,P17,Forwards
Friedberg Hesse,Germany,Germany,Friedberg Friedberg in der Wetterau is a town and the capital of the Wetteraukreis district in Hesse Germany,P17,Forwards
Laubenheim,Germany,Germany,Laubenheim is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Bad Kreuznach district in RhinelandPalatinate Germany,P17,Forwards
VitryenArtois,PasdeCalais,PasdeCalais,VitryenArtois is a commune and in the PasdeCalais department in the HautsdeFrance region of France,P131,Forwards
Vigili del Fuoco,Italy,Italy,The Vigili del Fuoco is Italys institutional agency for fire and rescue service,P17,Forwards
Sistine Chapel,Vatican City,Vatican City,The Sistine Chapel ˌsɪstiːn ˈtʃæpəl Latin Sacellum Sixtinum Italian Cappella Sistina kapˈpɛlla siˈstiːna is a chapel in the Apostolic Palace the official residence of the pope in Vatican City,P131,Forwards
Úbeda,Spain,Spain,Úbeda Spanish pronunciation160ˈuβeða from Iberian Ibiut is a town in the province of Jaén in Spains autonomous community of Andalusia with 34733 data 2017 inhabitants,P17,Forwards
Marche,Tuscany,Tuscany,The region is located in the Central area of the country bordered by EmiliaRomagna and the republic of San Marino to the north Tuscany to the west Umbria to the southwest Abruzzo and Lazio to the south and the Adriatic Sea to the east,P47,Forwards
Agrippina the Younger,Roman emperor,Roman emperor,One of the most prominent women in the JulioClaudian dynasty her father was the Roman general Germanicus onetime heir apparent to the Roman Empire under Tiberius her mother was Agrippina the Elder granddaughter of the first Roman emperor Augustus she was the younger sister of emperor Caligula niece and fourth wife of emperor Claudius who succeeded Caligula and the mother of emperor Nero who succeeded Claudius,P39,Forwards
VillefranchesurMer,AlpesMaritimes,AlpesMaritimes,VillefranchesurMer US ˌviːləˈfrɒ̃ʃ sʊər ˈmɛər French160vilfʁɑ̃ʃ syʁ mɛʁ Occitan Vilafranca de Mar ˌvilɔˈfʀaŋkɔ de ˈmaʀ Italian Villafranca Marittima ˌvillaˈfraŋka maˈrittima is a commune in the AlpesMaritimes department in the ProvenceAlpesCôte dAzur region on the French Riviera and is located southwest of the Principality of Monaco which is just west of the FrenchItalian border,P131,Forwards
Umbertide,Province of Perugia,province of Perugia,Umbertide Italian pronunciation160umˈbɛrtide is a town and comune township of Italy in the province of Perugia and  in northwestern Umbria at the confluence of the Reggia river and the Tiber,P131,Forwards
Schöneberg Bad Kreuznach,Germany,Germany,Schöneberg is an Ortsgemeinde – a municipality belonging to a Verbandsgemeinde a kind of collective municipality – in the Bad Kreuznach district in RhinelandPalatinate Germany,P17,Forwards
Gaius Mucius Scaevola,Ancient Rome,ancient Roman,Gaius Mucius Cordus better known with his later cognomen Scaevola ˈsiːvələ ˈsɛv SEEVələ Latin160ˈskae̯wɔla was an ancient Roman youth possibly mythical famous for his bravery,P19,Forwards
Alps,Italy,Italy,The Alps91a93 are the highest and most extensive mountain range system that lies entirely in Europe91b93 stretching approximately 1200160km 750160mi across eight Alpine countries from west to east France Switzerland Monaco Italy Liechtenstein Austria Germany and Slovenia,P17,Forwards
Syria,Israel,Israel,Syria Arabic سُورِيَا8206 romanized160Sūriyā officially the Syrian Arab Republic Arabic ٱلْجُمْهُورِيَّةُ ٱلْعَرَبِيَّةُ ٱلسُّورِيَّةُ8206 romanized160alJumhūrīyah alʻArabīyah asSūrīyah is a country in Western Asia bordering Lebanon to the southwest the Mediterranean Sea to the west Turkey to the north Iraq to the east Jordan to the south and Israel to the southwest,P47,Backwards
Pope Leo XI,Florence,Florence,He was from the prominent House of Medici originating from Florence,P19,Forwards
Bagnoregio,Province of Viterbo,Province of Viterbo,Bagnoregio is a comune municipality in the Province of Viterbo in the Italian region of Lazio located about 90 kilometres 56160mi northwest of Rome and about 28 kilometres 17160mi north of Viterbo,P131,Forwards
Constantinople,Justinian I,Justinian I,537 AD Completion of the Hagia Sophia by Justinian I,P20,Backwards
Mömlingen,Germany,Germany,Mömlingen is a municipality in the Miltenberg district in the Regierungsbezirk of Lower Franconia Unterfranken in Bavaria Germany,P17,Forwards
Delos,Greece,Greece,The island of Delos ˈdiːlɒs Greek Δήλος ˈðilos Attic Δῆλος Doric Δᾶλος near Mykonos near the centre of the Cyclades archipelago is one of the most important mythological historical and archaeological sites in Greece,P17,Forwards
Po Valley,Veneto,Veneto,The flatlands of Veneto and Friuli are often considered apart since they do not drain into the Po but they effectively combine into  an unbroken plain making it the largest in Southern Europe,P131,Forwards
Potitus Valerius Messalla,Ancient Rome,Ancient Roman,70 BC – after 17 BC was an Ancient Roman statesman probably a son of Marcus Valerius Messalla Rufus,P19,Forwards
Turkey,Aegean Sea,Aegean Sea,It shares borders with Greece and Bulgaria to the northwest the Black Sea to the north Georgia to the northeast Armenia Azerbaijan and Iran to the east Iraq to the southeast Syria and the Mediterranean Sea to the south and the Aegean Sea to the west,P17,Backwards
Cappy Somme,France,France,Cappy is a commune in the Somme department in HautsdeFrance in northern France,P17,Forwards
La MaillerayesurSeine,France,France,La MaillerayesurSeine is a former commune in the SeineMaritime department in the Normandy region in northern France,P17,Forwards
Quintus Ancharius praetor 56 BC,Ancient Rome,Ancient Rome,Quintus Ancharius was a politician in the 1st century BCE in Ancient Rome,P27,Forwards
Ottoman–Habsburg wars,Ottoman Empire,Ottoman Empire, Ottoman Empire,P710,Forwards
Greek language,Greece,Greece,Greek modern Ελληνικά romanized Elliniká ancient Ἑλληνική Hellēnikḗ is an independent branch of the IndoEuropean family of languages native to Greece Cyprus Albania other parts of the Eastern Mediterranean and the Black Sea,P17,Forwards
