Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Cameroon,Nigeria,Nigeria,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P47,Forwards
Endangered Wildlife Trust,South Africa,South African,The Endangered Wildlife Trust is a South African environmental organisation for the conservation of threatened species and ecosystems in southern Africa,P17,Forwards
North Africa,Tunisia,Tunisia,The most commonly accepted definition includes Morocco Algeria Tunisia Libya Egypt and Sudan the 6 countries that shape the top North of the African continent,P361,Backwards
Kenya,Tanzania,Tanzania,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P530,Forwards
United Nations Statistics Division,United Nations Department of Economic and Social Affairs,United Nations Department of Economic and Social Affairs,The United Nations Statistics Division UNSD formerly the United Nations Statistical Office serves under the United Nations Department of Economic and Social Affairs DESA as the central mechanism within the Secretariat of the United Nations to supply the statistical needs and coordinating activities of the global statistical system,P361,Forwards
Poland,European Union,European Union,It has the sixth largest economy in the European Union by nominal GDP and the fifth largest by GDP PPP,P463,Forwards
United States,New York City,New York City,The national capital is Washington DC and the most populous city is New York City,P17,Backwards
Madagascar dry deciduous forests,Madagascar,Madagascar,The Madagascar dry deciduous forests  represent a tropical dry forest ecoregion situated in the western and northern part of Madagascar,P17,Forwards
Czech Republic,United States,United States,It ranks 12th in the UN inequalityadjusted human development and 14th in the World Bank Human Capital Index ahead of countries such as the United States the United Kingdom and France,P530,Backwards
MIKTA,South Korea,South Korea,MIKTA is an informal middle power partnership between Mexico Indonesia South Korea Turkey and Australia,P527,Forwards
Coordinating Ministry for Human Development and Cultural Affairs,Indonesia,Indonesian,Coordinating Ministry for Human Development and Cultural Affairs is an Indonesian coordinating ministry,P17,Forwards
AMA Supercross Championship,United States,American,The AMA Supercross Championship is an American motorcycle racing series,P17,Forwards
Sweden,Norway,Norway,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P47,Forwards
China,Macau,Macau,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P361,Backwards
Knersvlakte,South Africa,South Africa,The Knersvlakte is a region of hilly terrain covered with quartz gravel in Namaqualand in the northwest corner of the Western Cape Province of South Africa,P17,Forwards
Gambia River,Senegal,Senegal,The Gambia River formerly known as the River Gambra is a major river in West Africa running 1120 kilometres 700160mi from the Fouta Djallon plateau in north Guinea westward through Senegal and The Gambia to the Atlantic Ocean at the city of Banjul,P17,Forwards
Pete Oxford,Royal Geographical Society,Royal Geographical Society,In 1992 he became a Fellow of the Royal Geographical Society,P463,Forwards
Benxi,Liaoning,Liaoning,Benxi Chinese58 本溪 pinyin58 Běnxī is a prefecturelevel city located in the east of Liaoning province Peoples Republic of China southsoutheast of the provincial capital Shenyang,P150,Backwards
