FileIndex,Category
1,Wikidata Property Label
2,P17
3,P17
4,P17
5,P17
6,P17
7,P2596
8,P2596
9,P155
10,P17
11,P2596
12,P37
13,P361
14,P17
15,P156
16,P156
17,P131
18,P3716
19,P361
20,P19
21,P206
22,P27
23,P1269
24,P2596
25,P37
26,P17
27,P17
28,P710
29,P710
30,P710
31,P361
32,P17
33,P131
34,P131
35,P607
36,P17
37,P31
38,P17
39,P40
40,P140
41,P361
42,P140
43,P279
44,P140
45,P138
46,P937
47,P937
48,P495
49,P495
50,P361
51,P710
52,P279
53,P279
54,P279
55,P2348
56,P279
57,P279
58,P279
59,P138
60,P279
61,P17
62,P706
63,P17
64,P131
65,P361
66,P361
67,P710
68,P710
69,P361
70,P710
71,P710
72,P710
73,P361
74,P710
75,P710
76,P361
77,P361
78,P361
79,P361
80,P361
81,P710
82,P710
83,P710
84,P361
85,P710
86,P361
87,P710
88,P361
89,P361
90,P361
91,P361
92,P710
93,P361
94,P361
95,P361
96,P361
97,P710
98,P27
99,P27
100,P937
101,P27
102,P19
103,P2184
104,P131
105,P131
106,P276
107,P17
108,P17
109,P17
110,P276
111,P2184
112,P2184
113,P155
114,P39
115,P31
116,P17
117,P17
118,P279
119,P17
120,P17
121,P17
122,P17
123,P2348
124,P2348
125,P206
126,P1344
127,P131
128,P17
129,P17
130,P30
131,P138
132,P527
133,P361
134,P131
135,P276
136,P607
137,P607
138,P131
139,P607
140,P527
141,P17
142,P17
143,P17
144,P150
145,P17
146,P163
147,P1269
148,P47
149,P276
150,P276
151,P710
152,P206
153,P17
154,P17
155,P276
156,P1269
157,P1269
158,P47
159,P1269
160,P1269
161,P527
162,P361
163,P131
164,P1269
165,P921
166,P921
167,P921
168,P921
169,P276
170,P921
171,P131
172,P131
173,P131
174,P1269
175,P1269
176,P131
177,P279
178,P155
179,P279
180,P17
181,P527
182,P36
183,P17
184,P47
185,P27
186,P17
187,P17
188,P361
189,P1412
190,P186
191,P279
192,P2596
193,P17
194,P2596
195,P2596
196,P276
197,P88
198,P607
199,P39
200,P39
201,P39
202,P39
203,P50
204,P50
205,P50
206,P527
207,P19
208,P156
209,P361
210,P279
211,P37
212,P921
213,P921
214,P921
215,P276
216,P276
217,P276
218,P157
219,P527
220,P361
221,P156
222,P527
223,P527
224,P17
225,P17
226,P27
227,P27
228,P27
229,P17
230,P17
231,P17
232,P17
233,P17
234,P2596
235,P47
236,P17
237,P17
238,P156
239,P123
240,P131
241,P131
242,P19
243,P1269
244,P1001
245,P1001
246,P17
247,P17
248,P17
249,P17
250,P39
251,P131
252,P279
253,P17
254,P17
255,P710
256,P279
257,P17
258,P39
259,P39
260,P39
261,P39
262,P1344
263,P710
264,P19
265,P39
266,P156
267,P156
268,P710
269,P155
270,P527
271,P17
272,P156
273,P17
274,P17
275,P17
276,P17
277,P140
278,P361
279,P276
280,P279
281,P17
282,P361
283,P101
284,P17
285,P361
286,P710
287,P206
288,P19
289,P527
290,P131
291,P37
292,P17
293,P17
294,P276
295,P2596
296,P31
297,P50
298,P135
299,P131
300,P361
301,P460
302,P460
303,P1412
304,P460
305,P460
306,P279
307,P17
308,P279
309,P361
310,P1269
311,P1269
312,P279
313,P279
314,P361
315,P361
316,P361
317,P361
318,P361
319,P361
320,P361
321,P1269
322,P1269
323,P1269
324,P1269
325,P206
326,P138
327,P2596
328,P2596
329,P138
330,P17
331,P27
332,P19
333,P19
334,P36
335,P27
336,P31
337,P991
338,P39
339,P39
340,P800
341,P40
342,P20
343,P17
344,P27
345,P138
346,P361
347,P17
348,P279
349,P17
350,P17
351,P279
352,P279
353,P279
354,P279
355,P17
356,P17
357,P361
358,P279
359,P361
360,P17
361,P17
362,P276
363,P17
364,P138
365,P17
366,P17
367,P1412
368,P39
369,P22
370,P1038
371,P131
372,P710
373,P17
374,P138
375,P279
376,P607
377,P276
378,P2348
379,P276
380,P131
381,P131
382,P140
383,P39
384,P140
385,P131
386,P1269
387,P17
388,P206
389,P279
390,P150
391,P17
392,P17
393,P17
394,P1344
395,P22
396,P710
397,P710
398,P279
399,P31
400,P31
401,P1269
402,P1535
403,P2389
404,P797
405,P1412
406,P17
407,P17
408,P20
409,P607
410,P607
411,P20
412,P131
413,P276
414,P17
415,P27
416,P17
417,P279
418,P17
419,P138
420,P17
421,P17
422,P17
423,P17
424,P17
425,P276
426,P276
427,P206
428,P17
429,P131
430,P131
431,P17
432,P19
433,P20
434,P20
435,P20
436,P1366
437,P1366
438,P706
439,P17
440,P276
441,P50
442,P20
443,P138
444,P138
445,P138
446,P276
447,P17
448,P279
449,P937
450,P937
451,P40
452,P937
453,P710
454,P276
455,P17
456,P131
457,P19
458,P710
459,P37
460,P279
461,P279
462,P19
463,P131
464,P138
465,P2596
466,P279
467,P27
468,P1412
469,P20
470,P17
471,P131
472,P47
473,P47
474,P131
475,P279
476,P17
477,P674
478,P674
479,P674
480,P361
481,P19
482,P131
483,P17
484,P17
485,P17
486,P17
487,P47
488,P47
489,P2596
490,P106
491,P27
492,P20
493,P279
494,P279
495,P279
496,P155
497,P361
498,P2348
499,P17
500,P17
501,P2348
502,P527
503,P527
504,P361
505,P138
506,P1365
507,P1365
508,P1365
509,P138
510,P276
511,P53
512,P17
513,P17
514,P17
515,P17
516,P53
517,P361
518,P17
519,P17
520,P17
521,P27
522,P27
523,P27
524,P20
525,P20
526,P19
527,P47
528,P20
529,P417
530,P39
531,P39
532,P20
533,P710
534,P155
535,P19
536,P27
537,P131
538,P25
539,P106
540,P39
541,P39
542,P39
543,P20
544,P27
545,P276
546,P40
547,P40
548,P1376
549,P20
550,P138
551,P1365
552,P53
553,P27
554,P50
555,P279
556,P276
557,P607
558,P138
559,P27
560,P27
561,P1269
562,P39
563,P27
564,P27
565,P27
566,P27
567,P40
568,P131
569,P1365
570,P17
571,P1412
572,P53
573,P53
574,P20
575,P39
576,P39
577,P17
578,P19
579,P2348
580,P138
581,P20
582,P20
583,P279
584,P31
585,P31
586,P17
587,P17
588,P47
589,P276
590,P17
591,P1001
592,P457
593,P361
594,P2348
595,P39
596,P2348
597,P131
598,P131
599,P131
600,P17
601,P361
602,P131
603,P39
604,P138
605,P27
606,P17
607,P31
608,P31
609,P279
610,P27
611,P17
612,P279
613,P279
614,P47
615,P361
616,P361
617,P361
618,P527
619,P527
620,P361
621,P17
622,P279
623,P279
624,P279
625,P279
626,P361
627,P279
628,P361
629,P279
630,P361
631,P27
632,P361
633,P37
634,P37
635,P37
636,P37
637,P2936
638,P279
639,P361
640,P361
641,P17
642,P527
643,P17
644,P17
645,P2341
646,P2341
647,P2341
648,P37
649,P2348
650,P17
651,P2348
652,P27
653,P138
654,P138
655,P360
656,P39
657,P131
658,P1269
659,P1269
660,P1269
661,P27
662,P19
663,P30
664,P17
665,P17
666,P17
667,P17
668,P27
669,P361
670,P31
671,P31
672,P17
673,P17
674,P155
675,P20
676,P17
677,P17
678,P17
679,P17
680,P17
681,P20
682,P155
683,P17
684,P17
685,P17
686,P17
687,P17
688,P131
689,P27
690,P17
691,P131
692,P710
693,P17
694,P17
695,P17
696,P17
697,P131
698,P17
699,P17
700,P17
701,P1269
702,P5125
703,P27
704,P17
705,P131
706,P131
707,P5125
708,P1269
709,P20
710,P155
711,P17
712,P17
713,P17
714,P17
715,P27
716,P131
717,P710
718,P206
719,P155
720,P710
721,P17
722,P27
723,P17
724,P17
725,P17
726,P20
727,P27
728,P131
729,P27
730,P17
731,P17
732,P17
733,P27
734,P131
735,P17
736,P131
737,P155
738,P17
739,P279
740,P17
741,P20
742,P5125
743,P1269
744,P17
745,P17
746,P17
747,P1269
748,P17
749,P361
750,P17
751,P17
752,P17
753,P17
754,P17
755,P17
756,P131
757,P17
758,P155
759,P206
760,P17
761,P17
762,P1269
763,P17
764,P463
765,P1412
766,P17
767,P19
768,P19
769,P19
770,P710
771,P361
772,P361
773,P22
774,P276
775,P276
776,P17
777,P276
778,P1269
779,P1269
780,P30
781,P1269
782,P361
783,P279
784,P276
785,P279
786,P361
787,P710
788,P27
789,P710
790,P279
791,P131
792,P279
793,P27
794,P17
795,P40
796,P40
797,P40
798,P53
799,P20
800,P20
801,P26
802,P39
803,P131
804,P26
805,P39
806,P276
807,P40
808,P19
809,P156
810,P361
811,P407
812,P172
813,P527
814,P131
815,P17
816,P17
817,P17
818,P17
819,P47
820,P360
821,P17
822,P1412
823,P53
824,P279
825,P17
826,P361
827,P361
828,P279
829,P279
830,P17
831,P138
832,P17
833,P27
834,P27
835,P27
836,P27
837,P27
838,P27
839,P279
840,P279
841,P279
842,P17
843,P17
844,P50
845,P27
846,P2348
847,P50
848,P50
849,P20
850,P20
851,P937
852,P47
853,P17
854,P17
855,P206
856,P2596
857,P276
858,P19
859,P27
860,P31
861,P2596
862,P279
863,P17
864,P17
865,P17
866,P607
867,P17
868,P407
869,P361
870,P20
871,P27
872,P276
873,P276
874,P131
875,P2596
876,P131
877,P276
878,P88
879,P276
880,P3448
881,P276
882,P361
883,P27
884,P27
885,P279
886,P276
887,P17
888,P17
889,P131
890,P17
891,P17
892,P47
893,P27
894,P31
895,P31
896,P27
897,P31
898,P27
899,P279
900,P2596
901,P17
902,P131
903,P131
904,P131
905,P279
906,P50
907,P279
908,P20
909,P22
910,P2348
911,P19
912,P527
913,P279
914,P279
915,P2348
916,P5025
917,P17
918,P17
919,P17
920,P27
921,P27
922,P27
923,P19
924,P19
925,P19
926,P17
927,P279
928,P279
929,P131
930,P6379
931,P6379
932,P1269
933,P27
934,P279
935,P131
936,P279
937,P17
938,P20
939,P20
940,P20
941,P1598
942,P39
943,P156
944,P36
945,P17
946,P17
947,P131
948,P206
949,P206
950,P361
951,P1344
952,P279
953,P27
954,P17
955,P2348
956,P17
957,P47
958,P17
959,P17
960,P17
961,P17
962,P1376
963,P131
964,P131
965,P1269
966,P17
967,P131
968,P30
969,P17
970,P361
971,P361
972,P17
973,P17
974,P17
975,P17
976,P30
977,P17
978,P361
979,P710
980,P2596
981,P17
982,P17
983,P50
984,P20
985,P1366
986,P527
987,P17
988,P1001
989,P2596
990,P27
991,P279
992,P17
993,P361
994,P131
995,P1269
996,P150
997,P150
998,P17
999,P17
1000,P17
1001,P50
1002,P2596
1003,P17
1004,P793
1005,P39
1006,P1412
1007,P17
1008,P17
1009,P17
1010,P710
1011,P156
1012,P710
1013,P27
1014,P276
1015,P527
1016,P155
1017,P155
1018,P156
1019,P361
1020,P361
1021,P361
1022,P361
1023,P279
1024,P276
1025,P361
1026,P155
1027,P361
1028,P39
1029,P39
1030,P937
1031,P39
1032,P27
1033,P27
1034,P17
1035,P17
1036,P1365
1037,P17
1038,P19
1039,P17
1040,P39
1041,P39
1042,P361
1043,P361
1044,P361
1045,P361
1046,P361
1047,P361
1048,P276
1049,P17
1050,P17
1051,P279
1052,P279
1053,P279
1054,P17
1055,P20
1056,P20
1057,P131
1058,P361
1059,P1598
1060,P36
1061,P20
1062,P710
1063,P25
1064,P25
1065,P17
1066,P19
1067,P39
1068,P1412
1069,P710
1070,P276
1071,P19
1072,P19
1073,P361
1074,P17
1075,P17
1076,P530
1077,P17
1078,P17
1079,P17
1080,P1344
1081,P17
1082,P17
1083,P361
1084,P17
1085,P206
1086,P19
1087,P36
1088,P36
1089,P36
1090,P36
1091,P131
1092,P206
1093,P3716
1094,P31
1095,P31
1096,P31
1097,P5025
1098,P53
1099,P31
1100,P138
1101,P361
1102,P172
1103,P17
1104,P361
1105,P361
1106,P361
1107,P276
1108,P276
1109,P361
1110,P276
1111,P2348
1112,P17
1113,P17
1114,P206
1115,P276
1116,P17
1117,P710
1118,P17
1119,P17
1120,P279
1121,P26
1122,P19
1123,P27
1124,P180
1125,P361
1126,P131
1127,P47
1128,P20
1129,P20
1130,P36
1131,P36
1132,P279
1133,P36
1134,P710
1135,P155
1136,P155
1137,P20
1138,P361
1139,P20
1140,P138
1141,P156
1142,P17
1143,P1365
1144,P36
1145,P1365
1146,P17
1147,P17
1148,P31
1149,P31
1150,P31
1151,P20
1152,P20
1153,P20
1154,P20
1155,P921
1156,P921
1157,P361
1158,P17
1159,P361
1160,P279
1161,P710
1162,P361
1163,P607
1164,P279
1165,P22
1166,P361
1167,P361
1168,P27
1169,P361
1170,P361
1171,P361
1172,P361
1173,P361
1174,P361
1175,P361
1176,P22
1177,P361
1178,P361
1179,P22
1180,P361
1181,P361
1182,P361
1183,P361
1184,P361
1185,P361
1186,P276
1187,P276
1188,P276
1189,P20
1190,P710
1191,P27
1192,P17
1193,P19
1194,P527
1195,P527
1196,P527
1197,P527
1198,P276
1199,P279
1200,P17
1201,P607
1202,P607
1203,P527
1204,P31
1205,P22
1206,P2348
1207,P39
1208,P1344
1209,P1344
1210,P1344
1211,P17
1212,P17
1213,P131
1214,P1412
1215,P131
1216,P131
1217,P131
1218,P131
1219,P47
1220,P131
1221,P194
1222,P194
1223,P194
1224,P194
1225,P194
1226,P156
1227,P194
1228,P194
1229,P17
1230,P527
1231,P31
1232,P39
1233,P19
1234,P19
1235,P27
1236,P17
1237,P138
1238,P2348
1239,P39
1240,P106
1241,P50
1242,P279
1243,P279
1244,P131
1245,P1269
1246,P27
1247,P27
1248,P27
1249,P279
1250,P2348
1251,P800
1252,P1038
1253,P50
1254,P800
1255,P50
1256,P276
1257,P361
1258,P50
1259,P50
1260,P50
1261,P1269
1262,P1269
1263,P1269
1264,P1038
1265,P50
1266,P276
1267,P361
1268,P131
1269,P361
1270,P279
1271,P279
1272,P279
1273,P361
1274,P279
1275,P279
1276,P279
1277,P155
1278,P279
1279,P279
1280,P279
1281,P279
1282,P279
1283,P19
1284,P2596
1285,P2596
1286,P17
1287,P2596
1288,P27
1289,P27
1290,P50
1291,P20
1292,P17
1293,P17
1294,P106
1295,P17
1296,P361
1297,P131
1298,P2348
1299,P2348
1300,P27
1301,P31
1302,P47
1303,P47
1304,P27
1305,P3373
1306,P40
1307,P40
1308,P3373
1309,P451
1310,P17
1311,P39
1312,P27
1313,P20
1314,P155
1315,P527
1316,P17
1317,P1435
1318,P159
1319,P31
1320,P39
1321,P20
1322,P17
1323,P2348
1324,P2348
1325,P800
1326,P800
1327,P131
1328,P19
1329,P19
1330,P19
1331,P19
1332,P138
1333,P40
1334,P19
1335,P17
1336,P17
1337,P17
1338,P131
1339,P20
1340,P17
1341,P2348
1342,P17
1343,P36
1344,P17
1345,P20
1346,P20
1347,P131
1348,P47
1349,P276
1350,P206
1351,P276
1352,P17
1353,P17
1354,P17
1355,P276
1356,P276
1357,P276
1358,P131
1359,P361
1360,P155
1361,P155
1362,P527
1363,P361
1364,P36
1365,P527
1366,P710
1367,P155
1368,P2348
1369,P361
1370,P361
1371,P527
1372,P155
1373,P276
1374,P527
1375,P361
1376,P119
1377,P39
1378,P20
1379,P19
1380,P921
1381,P276
1382,P19
1383,P19
1384,P27
1385,P2348
1386,P2348
1387,P2348
1388,P279
1389,P279
1390,P279
1391,P31
1392,P31
1393,P31
1394,P361
1395,P2596
1396,P47
1397,P2348
1398,P50
1399,P50
1400,P50
1401,P131
1402,P22
1403,P279
1404,P279
1405,P17
1406,P20
1407,P279
1408,P1269
1409,P1269
1410,P31
1411,P31
1412,P361
1413,P276
1414,P276
1415,P279
1416,P361
1417,P17
1418,P20
1419,P20
1420,P19
1421,P19
1422,P19
1423,P20
