FileIndex,Category
1,Wikidata Property Label
2,P17
3,P17
4,P17
5,P361
6,P17
7,P17
8,P17
9,P361
10,P17
11,P17
12,P17
13,P361
14,P131
15,P27
16,P17
17,P131
18,P17
19,P361
20,P19
21,P17
22,P19
23,P131
24,P17
25,P17
26,P17
27,P17
28,P710
29,P710
30,P17
31,P361
32,P17
33,P131
34,P131
35,P17
36,P17
37,P17
38,P17
39,P710
40,P710
41,P361
42,P361
43,P17
44,P17
45,P276
46,P20
47,P20
48,P27
49,P17
50,P361
51,P710
52,P17
53,P17
54,P276
55,P27
56,P131
57,P27
58,P276
59,P27
60,P27
61,P17
62,P131
63,P17
64,P131
65,P361
66,P361
67,P361
68,P710
69,P361
70,P361
71,P710
72,P710
73,P361
74,P710
75,P361
76,P361
77,P361
78,P361
79,P361
80,P361
81,P710
82,P710
83,P361
84,P361
85,P710
86,P361
87,P710
88,P361
89,P361
90,P361
91,P361
92,P710
93,P361
94,P361
95,P361
96,P361
97,P361
98,P27
99,P27
100,P27
101,P27
102,P27
103,P19
104,P131
105,P131
106,P17
107,P17
108,P17
109,P17
110,P131
111,P17
112,P131
113,P131
114,P39
115,P131
116,P17
117,P17
118,P17
119,P17
120,P17
121,P17
122,P17
123,P27
124,P710
125,P17
126,P710
127,P17
128,P17
129,P17
130,P276
131,P17
132,P361
133,P361
134,P131
135,P17
136,P361
137,P710
138,P131
139,P361
140,P131
141,P17
142,P131
143,P17
144,P131
145,P17
146,P17
147,P131
148,P17
149,P17
150,P361
151,P710
152,P361
153,P276
154,P17
155,P276
156,P361
157,P361
158,P47
159,P361
160,P17
161,P361
162,P361
163,P131
164,P361
165,P276
166,P276
167,P276
168,P710
169,P276
170,P276
171,P710
172,P710
173,P710
174,P17
175,P17
176,P131
177,P20
178,P17
179,P17
180,P17
181,P361
182,P47
183,P17
184,P361
185,P27
186,P17
187,P17
188,P361
189,P19
190,P276
191,P276
192,P276
193,P276
194,P276
195,P276
196,P276
197,P20
198,P19
199,P39
200,P39
201,P39
202,P39
203,P19
204,P39
205,P39
206,P361
207,P19
208,P361
209,P361
210,P131
211,P17
212,P276
213,P276
214,P276
215,P276
216,P276
217,P276
218,P27
219,P710
220,P710
221,P710
222,P361
223,P361
224,P17
225,P17
226,P27
227,P27
228,P27
229,P17
230,P17
231,P17
232,P17
233,P17
234,P17
235,P17
236,P17
237,P17
238,P361
239,P276
240,P131
241,P131
242,P19
243,P131
244,P39
245,P17
246,P17
247,P17
248,P17
249,P19
250,P39
251,P361
252,P361
253,P17
254,P131
255,P710
256,P17
257,P131
258,P39
259,P39
260,P39
261,P39
262,P710
263,P710
264,P19
265,P39
266,P17
267,P131
268,P710
269,P361
270,P361
271,P17
272,P361
273,P17
274,P17
275,P17
276,P17
277,P361
278,P361
279,P276
280,P17
281,P17
282,P361
283,P17
284,P17
285,P361
286,P27
287,P47
288,P19
289,P361
290,P131
291,P17
292,P17
293,P17
294,P131
295,P17
296,P17
297,P17
298,P361
299,P131
300,P361
301,P361
302,P19
303,P20
304,P361
305,P361
306,P131
307,P131
308,P361
309,P361
310,P17
311,P17
312,P276
313,P276
314,P361
315,P361
316,P361
317,P361
318,P361
319,P361
320,P361
321,P27
322,P27
323,P276
324,P17
325,P17
326,P276
327,P17
328,P27
329,P131
330,P17
331,P27
332,P19
333,P19
334,P17
335,P17
336,P276
337,P710
338,P39
339,P39
340,P20
341,P19
342,P20
343,P17
344,P27
345,P361
346,P361
347,P17
348,P17
349,P17
350,P17
351,P17
352,P361
353,P361
354,P710
355,P17
356,P17
357,P361
358,P361
359,P361
360,P17
361,P17
362,P361
363,P17
364,P361
365,P17
366,P17
367,P39
368,P39
369,P20
370,P20
371,P131
372,P710
373,P710
374,P710
375,P276
376,P19
377,P276
378,P710
379,P276
380,P361
381,P131
382,P361
383,P39
384,P131
385,P131
386,P276
387,P17
388,P47
389,P17
390,P131
391,P17
392,P17
393,P17
394,P710
395,P47
396,P710
397,P710
398,P710
399,P131
400,P131
401,P131
402,P710
403,P710
404,P361
405,P27
406,P17
407,P17
408,P20
409,P20
410,P710
411,P20
412,P131
413,P276
414,P17
415,P27
416,P131
417,P17
418,P17
419,P131
420,P17
421,P17
422,P17
423,P17
424,P17
425,P276
426,P17
427,P131
428,P17
429,P131
430,P131
431,P17
432,P19
433,P19
434,P19
435,P19
436,P17
437,P17
438,P276
439,P17
440,P17
441,P20
442,P131
443,P17
444,P17
445,P39
446,P276
447,P131
448,P131
449,P27
450,P27
451,P39
452,P276
453,P710
454,P710
455,P17
456,P131
457,P19
458,P20
459,P17
460,P361
461,P17
462,P27
463,P17
464,P361
465,P276
466,P131
467,P27
468,P131
469,P20
470,P17
471,P131
472,P47
473,P47
474,P131
475,P17
476,P131
477,P361
478,P361
479,P361
480,P361
481,P27
482,P131
483,P361
484,P17
485,P17
486,P17
487,P47
488,P47
489,P17
490,P27
491,P27
492,P20
493,P19
494,P20
495,P17
496,P361
497,P361
498,P276
499,P17
500,P27
501,P27
502,P710
503,P361
504,P361
505,P276
506,P710
507,P710
508,P710
509,P710
510,P276
511,P17
512,P17
513,P361
514,P17
515,P17
516,P17
517,P17
518,P17
519,P17
520,P17
521,P27
522,P27
523,P27
524,P20
525,P20
526,P19
527,P47
528,P20
529,P27
530,P39
531,P19
532,P361
533,P710
534,P710
535,P20
536,P27
537,P131
538,P131
539,P39
540,P39
541,P20
542,P39
543,P20
544,P27
545,P276
546,P20
547,P20
548,P17
549,P20
550,P19
551,P361
552,P20
553,P27
554,P361
555,P276
556,P276
557,P710
558,P47
559,P27
560,P19
561,P131
562,P39
563,P27
564,P27
565,P27
566,P27
567,P20
568,P131
569,P710
570,P17
571,P19
572,P19
573,P19
574,P361
575,P39
576,P39
577,P17
578,P19
579,P27
580,P20
581,P20
582,P20
583,P361
584,P17
585,P17
586,P17
587,P17
588,P47
589,P361
590,P17
591,P17
592,P276
593,P361
594,P39
595,P39
596,P39
597,P131
598,P131
599,P131
600,P17
601,P361
602,P131
603,P39
604,P131
605,P27
606,P17
607,P39
608,P39
609,P131
610,P27
611,P27
612,P361
613,P17
614,P17
615,P361
616,P361
617,P361
618,P17
619,P361
620,P361
621,P710
622,P361
623,P361
624,P361
625,P361
626,P361
627,P361
628,P361
629,P361
630,P361
631,P17
632,P361
633,P17
634,P17
635,P131
636,P17
637,P131
638,P361
639,P361
640,P361
641,P17
642,P47
643,P17
644,P17
645,P361
646,P131
647,P131
648,P17
649,P361
650,P17
651,P361
652,P27
653,P19
654,P19
655,P361
656,P39
657,P361
658,P27
659,P27
660,P27
661,P27
662,P19
663,P19
664,P361
665,P17
666,P17
667,P361
668,P27
669,P361
670,P17
671,P17
672,P17
673,P17
674,P17
675,P131
676,P17
677,P17
678,P17
679,P17
680,P17
681,P131
682,P131
683,P17
684,P17
685,P17
686,P17
687,P17
688,P131
689,P17
690,P17
691,P276
692,P710
693,P17
694,P17
695,P17
696,P17
697,P131
698,P17
699,P17
700,P17
701,P131
702,P131
703,P131
704,P17
705,P131
706,P131
707,P131
708,P131
709,P131
710,P131
711,P17
712,P17
713,P17
714,P17
715,P131
716,P131
717,P710
718,P361
719,P17
720,P710
721,P17
722,P17
723,P17
724,P17
725,P17
726,P20
727,P27
728,P131
729,P17
730,P17
731,P17
732,P17
733,P17
734,P131
735,P17
736,P131
737,P131
738,P17
739,P361
740,P17
741,P710
742,P131
743,P131
744,P17
745,P17
746,P17
747,P131
748,P17
749,P361
750,P17
751,P17
752,P17
753,P17
754,P17
755,P17
756,P131
757,P17
758,P17
759,P361
760,P17
761,P361
762,P131
763,P17
764,P276
765,P17
766,P17
767,P27
768,P19
769,P19
770,P27
771,P361
772,P361
773,P20
774,P276
775,P276
776,P17
777,P276
778,P361
779,P361
780,P361
781,P361
782,P361
783,P17
784,P276
785,P361
786,P710
787,P710
788,P710
789,P710
790,P276
791,P20
792,P131
793,P27
794,P17
795,P19
796,P19
797,P710
798,P27
799,P20
800,P27
801,P27
802,P39
803,P131
804,P39
805,P39
806,P27
807,P27
808,P19
809,P361
810,P361
811,P17
812,P17
813,P17
814,P131
815,P17
816,P17
817,P17
818,P17
819,P47
820,P361
821,P17
822,P27
823,P27
824,P17
825,P17
826,P361
827,P361
828,P131
829,P131
830,P17
831,P39
832,P17
833,P27
834,P27
835,P27
836,P27
837,P27
838,P27
839,P131
840,P131
841,P131
842,P17
843,P17
844,P27
845,P27
846,P361
847,P20
848,P20
849,P20
850,P20
851,P131
852,P131
853,P17
854,P17
855,P17
856,P17
857,P276
858,P27
859,P27
860,P361
861,P17
862,P276
863,P710
864,P710
865,P17
866,P710
867,P17
868,P131
869,P361
870,P361
871,P27
872,P276
873,P276
874,P131
875,P17
876,P131
877,P276
878,P131
879,P276
880,P39
881,P131
882,P361
883,P20
884,P20
885,P361
886,P131
887,P17
888,P17
889,P131
890,P17
891,P17
892,P47
893,P27
894,P131
895,P27
896,P27
897,P27
898,P27
899,P361
900,P17
901,P361
902,P131
903,P131
904,P131
905,P361
906,P19
907,P361
908,P19
909,P27
910,P27
911,P47
912,P19
913,P361
914,P361
915,P27
916,P17
917,P17
918,P17
919,P17
920,P27
921,P27
922,P27
923,P19
924,P17
925,P19
926,P17
927,P17
928,P361
929,P131
930,P361
931,P47
932,P131
933,P131
934,P131
935,P131
936,P131
937,P17
938,P20
939,P20
940,P20
941,P39
942,P39
943,P710
944,P361
945,P17
946,P17
947,P131
948,P276
949,P276
950,P361
951,P710
952,P131
953,P27
954,P17
955,P27
956,P27
957,P17
958,P17
959,P17
960,P17
961,P17
962,P131
963,P131
964,P131
965,P19
966,P17
967,P131
968,P276
969,P17
970,P17
971,P17
972,P710
973,P17
974,P17
975,P17
976,P17
977,P17
978,P361
979,P710
980,P17
981,P17
982,P17
983,P39
984,P39
985,P17
986,P361
987,P17
988,P710
989,P17
990,P27
991,P361
992,P17
993,P361
994,P17
995,P17
996,P131
997,P131
998,P131
999,P17
1000,P17
1001,P17
1002,P17
1003,P17
1004,P276
1005,P39
1006,P19
1007,P17
1008,P131
1009,P17
1010,P710
1011,P17
1012,P710
1013,P27
1014,P361
1015,P361
1016,P710
1017,P361
1018,P361
1019,P361
1020,P361
1021,P361
1022,P361
1023,P710
1024,P276
1025,P361
1026,P361
1027,P361
1028,P20
1029,P20
1030,P27
1031,P20
1032,P27
1033,P27
1034,P17
1035,P17
1036,P47
1037,P17
1038,P39
1039,P17
1040,P39
1041,P39
1042,P361
1043,P361
1044,P361
1045,P361
1046,P361
1047,P361
1048,P361
1049,P361
1050,P276
1051,P276
1052,P276
1053,P47
1054,P17
1055,P20
1056,P20
1057,P131
1058,P361
1059,P19
1060,P710
1061,P20
1062,P710
1063,P19
1064,P19
1065,P17
1066,P19
1067,P39
1068,P17
1069,P17
1070,P361
1071,P276
1072,P276
1073,P17
1074,P17
1075,P17
1076,P27
1077,P17
1078,P17
1079,P17
1080,P710
1081,P17
1082,P17
1083,P361
1084,P17
1085,P361
1086,P19
1087,P17
1088,P276
1089,P20
1090,P17
1091,P131
1092,P276
1093,P17
1094,P17
1095,P39
1096,P17
1097,P20
1098,P17
1099,P17
1100,P361
1101,P361
1102,P131
1103,P17
1104,P361
1105,P361
1106,P361
1107,P17
1108,P17
1109,P361
1110,P361
1111,P710
1112,P17
1113,P17
1114,P17
1115,P17
1116,P17
1117,P27
1118,P17
1119,P17
1120,P361
1121,P27
1122,P19
1123,P27
1124,P131
1125,P361
1126,P131
1127,P47
1128,P20
1129,P20
1130,P17
1131,P131
1132,P361
1133,P27
1134,P710
1135,P361
1136,P361
1137,P17
1138,P361
1139,P276
1140,P131
1141,P17
1142,P17
1143,P47
1144,P276
1145,P276
1146,P17
1147,P17
1148,P17
1149,P17
1150,P17
1151,P20
1152,P20
1153,P20
1154,P20
1155,P361
1156,P361
1157,P361
1158,P17
1159,P361
1160,P361
1161,P710
1162,P361
1163,P361
1164,P710
1165,P710
1166,P361
1167,P361
1168,P361
1169,P361
1170,P361
1171,P361
1172,P361
1173,P361
1174,P361
1175,P361
1176,P710
1177,P361
1178,P361
1179,P361
1180,P361
1181,P361
1182,P361
1183,P361
1184,P710
1185,P361
1186,P276
1187,P276
1188,P361
1189,P20
1190,P27
1191,P20
1192,P17
1193,P276
1194,P361
1195,P361
1196,P361
1197,P361
1198,P276
1199,P47
1200,P17
1201,P710
1202,P710
1203,P17
1204,P710
1205,P27
1206,P276
1207,P39
1208,P710
1209,P710
1210,P27
1211,P17
1212,P131
1213,P131
1214,P17
1215,P131
1216,P131
1217,P131
1218,P131
1219,P47
1220,P131
1221,P17
1222,P17
1223,P17
1224,P17
1225,P17
1226,P27
1227,P27
1228,P27
1229,P17
1230,P27
1231,P17
1232,P131
1233,P19
1234,P19
1235,P27
1236,P17
1237,P17
1238,P361
1239,P39
1240,P39
1241,P39
1242,P361
1243,P131
1244,P131
1245,P276
1246,P39
1247,P39
1248,P27
1249,P17
1250,P27
1251,P19
1252,P20
1253,P19
1254,P20
1255,P20
1256,P276
1257,P361
1258,P131
1259,P131
1260,P131
1261,P361
1262,P361
1263,P361
1264,P20
1265,P27
1266,P361
1267,P361
1268,P131
1269,P361
1270,P361
1271,P361
1272,P276
1273,P361
1274,P361
1275,P361
1276,P361
1277,P361
1278,P361
1279,P361
1280,P361
1281,P276
1282,P361
1283,P20
1284,P17
1285,P17
1286,P17
1287,P17
1288,P27
1289,P27
1290,P20
1291,P131
1292,P17
1293,P17
1294,P19
1295,P131
1296,P361
1297,P27
1298,P361
1299,P17
1300,P19
1301,P19
1302,P47
1303,P47
1304,P19
1305,P19
1306,P19
1307,P27
1308,P20
1309,P20
1310,P17
1311,P39
1312,P17
1313,P20
1314,P17
1315,P361
1316,P17
1317,P131
1318,P17
1319,P361
1320,P39
1321,P131
1322,P17
1323,P27
1324,P27
1325,P19
1326,P19
1327,P131
1328,P19
1329,P19
1330,P19
1331,P19
1332,P47
1333,P27
1334,P19
1335,P17
1336,P17
1337,P17
1338,P131
1339,P20
1340,P17
1341,P39
1342,P131
1343,P131
1344,P17
1345,P20
1346,P20
1347,P131
1348,P47
1349,P276
1350,P361
1351,P276
1352,P17
1353,P17
1354,P17
1355,P276
1356,P276
1357,P276
1358,P131
1359,P361
1360,P361
1361,P17
1362,P361
1363,P361
1364,P27
1365,P361
1366,P710
1367,P27
1368,P710
1369,P17
1370,P361
1371,P361
1372,P27
1373,P361
1374,P361
1375,P361
1376,P27
1377,P19
1378,P20
1379,P19
1380,P17
1381,P276
1382,P20
1383,P19
1384,P27
1385,P17
1386,P17
1387,P17
1388,P17
1389,P131
1390,P131
1391,P17
1392,P17
1393,P17
1394,P361
1395,P17
1396,P361
1397,P361
1398,P131
1399,P131
1400,P131
1401,P131
1402,P20
1403,P276
1404,P20
1405,P17
1406,P20
1407,P361
1408,P361
1409,P361
1410,P710
1411,P361
1412,P710
1413,P131
1414,P361
1415,P17
1416,P361
1417,P17
1418,P20
1419,P20
1420,P20
1421,P20
1422,P20
1423,P20
1424,P20
1425,P276
1426,P131
1427,P17
1428,P131
1429,P47
1430,P131
1431,P276
1432,P276
1433,P361
1434,P17
1435,P276
1436,P17
1437,P361
1438,P27
1439,P19
1440,P19
1441,P19
1442,P17
1443,P17
1444,P17
1445,P131
1446,P361
1447,P27
1448,P710
