FileIndex,Category
1,Wikidata Property Label
2,P527
3,P527
4,P279
5,P17
6,P17
7,P112
8,P17
9,P31
10,P921
11,P921
12,P921
13,P921
14,P921
15,P361
16,P361
17,P279
18,P1269
19,P17
20,P17
21,P921
22,P279
23,P279
24,P279
25,P279
26,P1889
27,P1889
28,P141
29,P17
30,P279
31,P17
32,P131
33,P279
34,P279
35,P27
36,P17
37,P279
38,P17
39,P279
40,P2670
41,P17
42,P112
43,P1435
44,P159
45,P279
46,P31
47,P31
48,P279
49,P17
50,P279
51,P31
52,P279
53,P17
54,P112
55,P279
56,P17
57,P527
58,P463
59,P463
60,P463
61,P463
62,P463
63,P31
64,P27
65,P112
66,P101
67,P921
68,P921
69,P921
70,P527
71,P527
72,P463
73,P101
74,P17
75,P17
76,P279
77,P361
78,P361
79,P361
80,P530
81,P530
82,P530
83,P530
84,P530
85,P530
86,P530
87,P530
88,P530
89,P463
90,P1889
91,P17
92,P279
93,P279
94,P279
95,P279
96,P921
97,P921
98,P279
99,P1889
100,P17
101,P279
102,P279
103,P527
104,P1269
105,P17
106,P17
107,P17
108,P397
109,P279
110,P17
111,P17
112,P17
113,P123
114,P361
115,P1889
116,P17
117,P17
118,P1830
119,P279
120,P112
121,P279
122,P1269
123,P279
124,P463
125,P527
126,P279
127,P279
128,P17
129,P921
130,P921
131,P31
132,P664
133,P3712
134,P530
135,P921
136,P279
137,P279
138,P279
139,P279
140,P279
141,P279
142,P123
143,P463
144,P279
145,P279
146,P279
147,P17
148,P279
149,P1889
150,P1889
151,P279
152,P1142
153,P279
154,P279
155,P5125
156,P1269
157,P1889
158,P527
159,P1889
160,P361
161,P527
162,P279
163,P1889
164,P279
165,P1889
166,P279
167,P279
168,P921
169,P131
170,P47
171,P47
172,P101
173,P47
174,P141
175,P31
176,P361
177,P31
178,P31
179,P108
180,P361
181,P1269
182,P279
183,P1269
184,P17
185,P112
186,P159
187,P921
188,P361
189,P17
190,P101
191,P279
192,P467
193,P1336
194,P17
195,P17
196,P47
197,P131
198,P361
199,P361
200,P17
201,P1269
202,P279
203,P17
204,P17
205,P101
206,P47
207,P1889
208,P279
209,P279
210,P17
211,P17
212,P1382
213,P279
214,P17
215,P17
216,P276
217,P276
218,P112
219,P1269
220,P1435
221,P279
222,P921
223,P921
224,P17
225,P793
226,P112
227,P112
228,P112
229,P131
230,P17
231,P279
232,P279
233,P279
234,P793
235,P279
236,P279
237,P27
238,P131
239,P1001
240,P1001
241,P463
242,P17
243,P17
244,P31
245,P112
246,P279
247,P17
248,P463
249,P101
250,P527
251,P361
252,P921
253,P279
254,P527
255,P50
256,P101
257,P155
258,P527
259,P17
260,P159
261,P159
262,P112
263,P361
264,P361
265,P17
266,P664
267,P279
268,P1142
269,P159
270,P17
271,P748
272,P27
273,P3712
274,P530
275,P361
276,P1552
277,P1269
278,P361
279,P361
280,P463
281,P361
282,P921
283,P800
284,P921
285,P1269
286,P921
287,P27
288,P1589
289,P1435
290,P279
291,P279
292,P138
293,P138
294,P463
295,P361
296,P279
297,P361
298,P17
299,P527
300,P828
301,P361
302,P921
303,P361
304,P1889
305,P279
306,P17
307,P17
308,P1889
309,P279
310,P279
311,P279
312,P279
313,P749
314,P17
315,P17
316,P31
317,P17
318,P279
319,P17
320,P279
321,P101
322,P101
323,P1589
324,P17
325,P17
326,P206
327,P17
328,P467
329,P131
330,P279
331,P31
332,P1552
333,P279
334,P279
335,P17
336,P17
337,P279
338,P279
339,P279
340,P206
341,P131
342,P1552
343,P279
344,P279
345,P279
346,P279
347,P27
348,P159
349,P276
350,P1435
351,P17
352,P279
353,P1269
354,P279
355,P279
356,P279
357,P108
358,P123
359,P123
360,P463
361,P463
362,P463
363,P530
364,P527
365,P463
366,P463
367,P463
368,P463
369,P463
370,P463
371,P150
372,P150
373,P150
374,P527
375,P527
376,P463
377,P527
378,P463
379,P463
380,P463
381,P530
382,P527
383,P527
384,P463
385,P150
386,P463
387,P463
388,P463
389,P463
390,P527
391,P463
392,P150
393,P150
394,P150
395,P150
396,P527
397,P463
398,P463
399,P527
400,P463
401,P463
402,P527
403,P463
404,P150
405,P463
406,P463
407,P463
408,P527
409,P463
410,P150
411,P150
412,P150
413,P527
414,P463
415,P463
416,P463
417,P150
418,P527
419,P463
420,P463
421,P463
422,P527
423,P463
424,P527
425,P463
426,P150
427,P463
428,P463
429,P463
430,P527
431,P463
432,P150
433,P150
434,P150
435,P527
436,P527
437,P279
438,P279
439,P279
440,P17
441,P467
442,P467
443,P279
444,P463
445,P463
446,P463
447,P361
448,P279
449,P279
450,P279
451,P279
452,P279
453,P279
454,P108
455,P17
456,P150
457,P131
458,P17
459,P47
460,P47
461,P47
462,P1269
463,P749
464,P749
465,P921
466,P1269
467,P921
468,P921
469,P527
470,P921
471,P921
472,P921
473,P921
474,P1889
475,P921
476,P921
477,P361
478,P279
479,P279
480,P17
481,P108
482,P17
483,P17
484,P279
485,P17
486,P361
487,P279
488,P112
489,P527
490,P17
491,P131
492,P279
493,P131
494,P31
495,P31
496,P31
497,P17
498,P17
499,P17
500,P749
501,P17
502,P17
503,P279
504,P279
505,P279
506,P1269
507,P463
508,P279
509,P17
510,P17
511,P17
512,P108
513,P1269
514,P361
515,P47
516,P47
517,P17
518,P47
519,P17
520,P279
521,P279
522,P279
523,P279
524,P361
525,P279
526,P47
527,P279
528,P279
529,P921
530,P131
531,P17
532,P279
533,P279
534,P279
535,P17
536,P279
537,P279
538,P279
539,P279
540,P279
541,P1142
542,P1269
543,P921
544,P279
545,P463
546,P17
547,P183
548,P17
549,P17
550,P17
551,P17
552,P17
553,P47
554,P17
555,P17
556,P159
557,P17
558,P17
559,P17
560,P279
561,P17
562,P31
563,P279
564,P27
565,P279
566,P279
567,P279
568,P17
569,P279
570,P279
571,P17
572,P279
573,P361
574,P31
575,P527
576,P17
577,P17
578,P279
579,P279
580,P31
581,P31
582,P31
583,P17
584,P279
585,P27
586,P279
587,P279
588,P361
589,P749
590,P361
591,P921
592,P463
593,P17
594,P17
595,P112
596,P17
597,P17
598,P17
599,P17
600,P17
601,P17
602,P17
603,P17
604,P17
605,P17
606,P17
607,P17
608,P279
609,P31
610,P279
611,P527
612,P159
613,P921
614,P921
615,P921
616,P27
617,P279
618,P27
619,P361
620,P279
621,P279
622,P47
623,P276
624,P17
625,P17
626,P17
627,P527
628,P17
629,P17
630,P17
631,P112
632,P361
633,P131
634,P17
635,P279
636,P17
637,P17
638,P17
639,P1269
640,P127
641,P1830
642,P921
643,P921
644,P921
645,P159
646,P159
647,P279
648,P279
649,P921
650,P921
651,P1269
652,P749
653,P17
654,P131
655,P17
656,P527
657,P530
