Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Pope Pius IV,CatholicChurch,Catholic Church,Pope Pius IV 31 March 1499 – 9 December 1565 born Giovanni Angelo Medici was head of the Catholic Church and ruler of the Papal States from 25 December 1559 to his death in 1565,P140,Forwards
Pope Pius XI,VaticanCity,Vatican City,He was the first sovereign of Vatican City from its creation as an independent state on 11 February 1929,P20,Forwards
Naples,Italy,Italy,Naples ˈneɪpəlz Italian Napoli ˈnaːpoli32listen Neapolitan Napule ˈnɑːpələ ˈnɑːpulə Ancient Greek Νεάπολις romanized160Neápolis91a93 is the regional capital of Campania and the thirdlargest city of Italy after Rome and Milan with a population of 967069 within the citys administrative limits as of 2017,P17,Forwards
Piazza Navona,Italy,Italy,Piazza NavonaTypeSquareLocationRome ItalyCoordinates41°53′56″N 12°28′23″Exfeff  xfeff4189889°N 1247306°Exfeff  4189889 1247306,P17,Forwards
Orsini family,PopeNicholasIII,Nicholas III,Members of the Orsini family include three popes Celestine III 1191–1198 Nicholas III 1277–1280 and Benedict XIII 1724–1730,P527,Forwards
Pantheon Rome,Rome,Rome,Mary and the Martyrs in Rome Italy on the site of an earlier temple commissioned by Marcus Agrippa during the reign of Augustus 27 BC – 14 AD,P131,Forwards
Pope Eugene IV,PapalStates,Papal States,Pope Eugene IV Latin Eugenius IV 1383 – 23 February 1447 born Gabriele Condulmer was head of the Catholic Church and ruler of the Papal States from 3 March 1431 to his death,P937,Forwards
Augustus,BattleofActium,Battle of Actium,The Triumvirate was eventually torn apart by the competing ambitions of its members Lepidus was exiled in 36 BC and Antony was defeated by Octavian at the Battle of Actium in 31 BC,P710,Backwards
Otto III Holy Roman Emperor,Christianity,Christianity, Through his affairs in Eastern Europe in 1000 he was able to extend the influence of Christianity by supporting mission work in Poland and through the crowning of Stephen I as the first Christian king of Hungary,P140,Forwards
Pope Pius II,CatholicChurch,Catholic Church,II Italian Pio II born Enea Silvio Bartolomeo Piccolomini Latin Aeneas Silvius Bartholomeus 18 October 1405 – 14 August 1464 was head of the Catholic Church and ruler of the Papal States from 19 August 1458 to his death,P140,Forwards
Porta Pia,Italy,Italy,Porta Pia is a gate in the Aurelian Walls of Rome Italy,P17,Forwards
Battle of Actium,Augustus,Octavian,The Battle of Actium was a naval battle in the last war of the Roman Republic fought between the fleet of Octavian and the combined forces of Mark Antony and Queen Cleopatra of Egypt,P710,Forwards
Capitoline Museums,Italy,Italy,The Capitoline Museums Italian Musei Capitolini is a single museum containing a group of art and archaeological museums in Piazza del Campidoglio on top of the Capitoline Hill in Rome Italy,P17,Forwards
Battle of Lake Regillus,RomanRepublic,Roman Republic,Roman Republic,P710,Forwards
Umbria,Italy,Italy,Umbria ˈʌmbriə UMbreeə Italian160ˈumbrja is a region of central Italy,P17,Forwards
Venice,RepublicofVenice,Republic of Venice,The city was historically the capital of the Republic of Venice for over a millennium from 697 to 1797,P36,Backwards
Pope Leo III,PapalStates,Papal States,Pope Leo III Latin Leo fl 12 June 816 was the bishop of Rome and ruler of the Papal States from 26 December 795 to his death,P937,Forwards
Pope Boniface VIII,CatholicChurch,Catholic Church,1230 – 11 October 1303 was the head of the Catholic Church and ruler of the Papal States from 24 December 1294 to his death in 1303,P140,Forwards
Pope Pius IV,PapalStates,Papal States,Pope Pius IV 31 March 1499 – 9 December 1565 born Giovanni Angelo Medici was head of the Catholic Church and ruler of the Papal States from 25 December 1559 to his death in 1565,P937,Forwards
Sandro Botticelli,Florence,Florence,His bestknown works are The Birth of Venus and Primavera both in the Uffizi in Florence,P20,Forwards
Roman Empire,AncientRome,ancient Rome,The Roman Empire Latin Imperium Rōmānum ɪmˈpɛriũː roːˈmaːnũː Koinē Greek Βασιλεία τῶν Ῥωμαίων romanized160Basileía tōn Rhōmaíōn was the postRepublican period of ancient Rome,P527,Backwards
Axis powers,NaziGermany,Nazi Germany,The Axis grew out of the diplomatic efforts of Nazi Germany the Kingdom of Italy and the Empire of Japan to secure their own specific expansionist interests in the mid1930s,P527,Forwards
Pope Clement III,CatholicChurch,Catholic Church,Pope Clement III Latin Clemens III 1130160– 20 March 1191 born Paulino or Paolo Scolari was the head of the Catholic Church and ruler of the Papal States from 19 December 1187 to his death,P140,Forwards
Caravaggio,Rome,Rome,Michelangelo Merisi Michele Angelo Merigi or Amerighi da Caravaggio known as Caravaggio ˌkærəˈvædʒioʊ US ˈvɑːdʒioʊ Italian pronunciation160mikeˈlandʒelo meˈriːzi da kkaraˈvaddʒo 29 September 1571 – 18 July 1610 was an Italian painter active in Rome for most of his artistic life,P937,Forwards
