Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Sustainable Development Goal 2,SustainableDevelopmentGoals,Sustainable Development Goals,It is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Sustainable Development Goal 3,SustainableDevelopmentGoals,Sustainable Development Goals,Sustainable Development Goal 3 SDG 3 or Global Goal 3 regarding Good Health and Wellbeing is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Sustainable Development Goal 15,SustainableDevelopmentGoals,Sustainable Development Goals,An annual report is prepared by the SecretaryGeneral of the United Nations evaluating the progress towards the Sustainable Development Goals,P527,Backwards
Brazil,ColonialBrazil,Portuguese colony,It remained a Portuguese colony until 1808 when the capital of the empire was transferred from Lisbon to Rio de Janeiro,P155,Forwards
Sustainable Development Goal 13,SustainableDevelopmentGoals,Sustainable Development Goals,Sustainable Development Goal 13 SDG 13 or Goal 13 is about climate action and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Water footprint,Ecologicalfootprint,ecological footprint,It is analogous to the ecological footprint concept introduced in the 1990s,P279,Forwards
Biodiversity loss,Extinction,extinction,Biodiversity loss includes the extinction of species worldwide as well as the local reduction or loss of species in a certain habitat resulting in a loss of biological diversity,P279,Forwards
Global Greens,Greenpolitics,green politics,It consists of various national Green political parties partner networks and other organizations associated with green politics,P1142,Forwards
Environmental issues,Humanimpactontheenvironment,effects of human activity on the biophysical environment,Environmental issues are harmful effects of human activity on the biophysical environment91span titleThis claim needs references to reliable sources,P279,Forwards
Education,SustainableDevelopmentGoal4,Sustainable Development Goal 4,Global initiatives aim at achieving the Sustainable Development Goal 4 which promotes quality education for all,P921,Backwards
United Nations,UnitedNationsGeneralAssembly,General Assembly,The UN has six principal organs the General Assembly the Security Council the Economic and Social Council ECOSOC the Trusteeship Council the International Court of Justice and the UN Secretariat,P527,Forwards
Uganda Green Party,Greenpolitics,green,The Uganda Green Party is a green political party in Uganda,P1142,Forwards
List of environmental films,Environmentalissues,Environmental issues,Environmental issues have increasingly become a topic in film and television,P921,Forwards
Sustainable development,SustainableDevelopmentGoals,Sustainable Development Goals,Sustainability goals such as the current UNlevel Sustainable Development Goals address the global challenges including poverty inequality climate change environmental degradation peace and justice,P921,Backwards
Social sustainability,Sustainabledevelopment,sustainable development,Social sustainability is the least defined and least understood of the different ways of approaching sustainability and sustainable development,P361,Forwards
Jared Diamond,GunsGermsandSteel,Guns Germs and Steel,Jared Mason Diamond born September 10 1937 is an American geographer historian ornithologist and author best known for his popular science books The Third Chimpanzee 1991 Guns Germs and Steel 1997 awarded a Pulitzer Prize Collapse 2005 The World Until Yesterday 2012 and Upheaval 2019,P50,Backwards
Ecological resilience,Ecology,ecology,In ecology resilience is the capacity of an ecosystem to respond to a perturbation or disturbance by resisting damage and recovering quickly,P279,Forwards
A Short History of Progress,Societalcollapse,societal collapse,A Short History of Progress is a nonfiction book and lecture series by Ronald Wright about societal collapse,P921,Forwards
Ecosocialism,Greenpolitics,green politics,Ecosocialism green socialism or socialist ecology is an ideology merging aspects of socialism with that of green politics ecology and alterglobalization or antiglobalization,P279,Forwards
Sustainable Development Goals,SustainableDevelopmentGoal15,Life On Land,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Climate change,Oceanacidification,ocean acidification,Even if efforts to minimise future warming are successful some effects will continue for centuries including rising sea levels rising ocean temperatures and ocean acidification,P1269,Backwards
Sustainable Development Goals,SustainableDevelopmentGoal14,Life Below Water,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Sustainable Development Goal 4,Education,education,Sustainable Development Goal 4 SDG 4 or Global Goal 4 is about quality education and is among the 17 Sustainable Development Goals established by the United Nations in September 2015,P921,Forwards
Reforestation,Deforestation,deforestation,Reforestation occasionally Reafforestation is the natural or intentional restocking of existing forests and woodlands forestation that have been depleted usually through deforestation but also after clearcutting,P461,Backwards
Sustainable Development Goal 6,SustainableDevelopmentGoals,Sustainable Development Goals,It is one of 17 Sustainable Development Goals established by the United Nations General Assembly in 2015 the official wording is Ensure availability and sustainable management of water and sanitation for all The goal has eight targets to be achieved by at least 2030,P361,Forwards
